#This file gives summary info for total, by class and by class/fam
#See file Meloidogyne_ﬂoridensisn.Mf.1.1.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file Meloidogyne_ﬂoridensisn.Mf.1.1.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file Meloidogyne_ﬂoridensisn.Mf.1.1.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
18177641	1180598	16997043	19.1557139389066	1.24412169680572	17.9115922421009


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	843136	0.888502090430434
Same: class (but NOT same family)	7500	0.00790354780038838
Same: class/fam	835636	0.880598542630046
Same: name#class/fam	142505	0.150172677239246
Different: class	337462	0.355619606375288


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	1723073	35557	28057	1.81578530920781	0.0374701932184546	0.0295666454180662
LINE	69672	22	22	0.0734207976464879	2.31837402144726e-05	2.31837402144726e-05
LTR	362460	446	446	0.381962658097169	0.000469997642529762	0.000469997642529762
Low_complexity	922713	1542	1542	0.972360840205301	0.00162496942775985	0.00162496942775985
RC	229793	2263	2263	0.242157327959286	0.00238476382297052	0.00238476382297052
Satellite	190083	32	32	0.200310676872163	3.37218039483237e-05	3.37218039483237e-05
Simple_repeat	2087156	7767	7767	2.19945829504899	0.0081849141020822	0.0081849141020822
Unknown	12577272	795507	795507	13.2540093933982	0.838310346672474	0.838310346672474
rRNA	4753	0	0	0.00500874169269946	0	0
tRNA	10666	0	0	0.0112398987785257	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA/IS3EU	110863	1959	1959	0.116828135972594	0.00206440668546144	0.00206440668546144
DNA/MULE-MuDR	136620	6251	6251	0.143971026731875	0.00658734364003037	0.00658734364003037
DNA/MULE-NOF	16870	183	183	0.0177777135190069	0.000192846566329476	0.000192846566329476
DNA/Maverick	520091	1784	1784	0.548075210540239	0.00187999057011905	0.00187999057011905
DNA/Merlin	30435	1427	1427	0.032072596973976	0.00150378169482056	0.00150378169482056
DNA/PIF-Harbinger	82184	447	447	0.0866060229902824	0.000471051448903147	0.000471051448903147
DNA/TcMar-Mariner	34249	266	266	0.0360918144820669	0.000280312495320441	0.000280312495320441
DNA/TcMar-Tc1	136302	1500	1500	0.143635916305138	0.00158070956007768	0.00158070956007768
DNA/TcMar-Tc2	241206	4834	4834	0.25418442009873	0.00509410000894365	0.00509410000894365
DNA/hAT	69420	2113	2113	0.0731552384403948	0.00222669286696275	0.00222669286696275
DNA/hAT-Ac	140907	1980	1980	0.148488694654577	0.00208653661930253	0.00208653661930253
DNA/hAT-Tag1	19504	830	830	0.0205534395065033	0.000874659289909647	0.000874659289909647
DNA/hAT-Tip100	15534	0	0	0.0163698282041644	0	0
DNA/hAT-hAT19	108025	191	191	0.113837433484927	0.000201277017316557	0.000201277017316557
DNA/hAT-hAT5	60863	4292	4292	0.0641378173033384	0.00452293695456892	0.00452293695456892
LINE/CR1	69672	22	22	0.0734207976464879	2.31837402144726e-05	2.31837402144726e-05
LTR/Copia	7319	11	11	0.00771280884680567	1.15918701072363e-05	1.15918701072363e-05
LTR/ERVL	19170	0	0	0.0202014681777927	0	0
LTR/Gypsy	226691	428	428	0.238888420589046	0.00045102912780883	0.00045102912780883
LTR/Pao	103981	7	7	0.109575840510958	7.37664461369582e-06	7.37664461369582e-06
LTR/Unknown	5299	0	0	0.00558411997256773	0	0
Low_complexity	922713	1542	1542	0.972360840205301	0.00162496942775985	0.00162496942775985
RC/Helitron	229793	2263	2263	0.242157327959286	0.00238476382297052	0.00238476382297052
Satellite	190083	32	32	0.200310676872163	3.37218039483237e-05	3.37218039483237e-05
Simple_repeat	2087156	7767	7767	2.19945829504899	0.0081849141020822	0.0081849141020822
Unknown	12577272	795507	795507	13.2540093933982	0.838310346672474	0.838310346672474
rRNA	4753	0	0	0.00500874169269946	0	0
tRNA	10666	0	0	0.0112398987785257	0	0
