#This file gives summary info for total, by class and by class/fam
#See file heterodera_glycines.PRJNA381081.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file heterodera_glycines.PRJNA381081.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file heterodera_glycines.PRJNA381081.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
50322188	5688796	44633392	40.6327402075176	4.59342844873051	36.0393117587871


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	3265947	2.63709471421476
Same: class (but NOT same family)	459254	0.370825459164519
Same: class/fam	2806693	2.26626925505024
Same: name#class/fam	320127	0.258487115552527
Different: class	2422849	1.95633373451575


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	10835242	668749	232974	8.74893542529555	0.539982569538454	0.188115270685491
LINE	1865520	9032	6531	1.50631744215749	0.00729290446501051	0.00527346756653938
LTR	4854962	50287	29309	3.92014770230916	0.0406043275943294	0.0236656041812437
Low_complexity	1085706	8834	8834	0.876655240820273	0.00713302901283247	0.00713302901283247
RC	1302818	51865	51865	1.05196271139239	0.0418784865010817	0.0418784865010817
Satellite	312577	33	33	0.252390854623515	2.66459086963404e-05	2.66459086963404e-05
Simple_repeat	2418370	7768	7768	1.95271715799906	0.0062722854167628	0.0062722854167628
Unknown	27614838	2469306	2469306	22.2976500609767	1.99384552179775	1.99384552179775
snRNA	24528	73	73	0.019805177227389	5.89439798434198e-05	5.89439798434198e-05
tRNA	7627	0	0	0.00615843471596935	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	311660	3631	3631	0.251650421342469	0.00293185740837612	0.00293185740837612
DNA/CMC-Chapaev	48995	55	55	0.0395610998962788	4.44098478272341e-05	4.44098478272341e-05
DNA/CMC-EnSpm	103295	801	801	0.083405731478439	0.000646768874720263	0.000646768874720263
DNA/CMC-Transib	1581086	64432	64432	1.27665070294128	0.0520257330037154	0.0520257330037154
DNA/Crypton-S	55931	5	5	0.0451615854331823	4.03725889338491e-06	4.03725889338491e-06
DNA/MULE-MuDR	723183	11342	11342	0.583935399658957	0.00915811807375434	0.00915811807375434
DNA/Maverick	2428919	15447	15447	1.96123496681232	0.0124727076252234	0.0124727076252234
DNA/Merlin	365429	10842	10842	0.295066296030151	0.00875439218441585	0.00875439218441585
DNA/PIF-Harbinger	99723	1341	1341	0.0805215137250048	0.00108279283520583	0.00108279283520583
DNA/PIF-Spy	14587	82	82	0.0117782990955612	6.62110458515126e-05	6.62110458515126e-05
DNA/Sola-2	1476817	81571	81571	1.19245851343041	0.0658646490384602	0.0658646490384602
DNA/TcMar-Ant1	42432	0	0	0.0342617938728217	0	0
DNA/TcMar-Mariner	100710	3410	3410	0.081318468630559	0.00275341056528851	0.00275341056528851
DNA/TcMar-Tc1	27080	0	0	0.0218657941665727	0	0
DNA/TcMar-Tc2	246834	8676	8676	0.199306552337954	0.0070054516318015	0.0070054516318015
DNA/TcMar-Tc4	56949	59	59	0.0459835713438755	4.7639654941942e-05	4.7639654941942e-05
DNA/hAT	305898	1227	1227	0.246997884193732	0.000990743332436658	0.000990743332436658
DNA/hAT-Ac	928366	13858	13858	0.749610777963236	0.0111896667489056	0.0111896667489056
DNA/hAT-Blackjack	124383	3306	3306	0.100433274587179	0.00266943558030611	0.00266943558030611
DNA/hAT-Tip100	105029	142	142	0.0848058528626648	0.000114658152572132	0.000114658152572132
DNA/hAT-hAT19	1123365	8168	8168	0.907063067353469	0.0065952661282336	0.0065952661282336
DNA/hAT-hATx	564571	4579	4579	0.455863858139443	0.0036973216945619	0.0036973216945619
LINE/CR1	1335384	3531	3531	1.07825818601678	0.00285111223050843	0.00285111223050843
LINE/CR1-Zenon	4095	0	0	0.00330651503368225	0	0
LINE/I-Jockey	168746	204	204	0.136254257844626	0.000164720162850105	0.000164720162850105
LINE/L1	128669	148	148	0.103894012910589	0.000119502863244193	0.000119502863244193
LINE/L2	73279	181	181	0.0591692588896706	0.000146148771940534	0.000146148771940534
LINE/Penelope	138283	2045	2045	0.111656854310789	0.00165123888739443	0.00165123888739443
LINE/Tad1	17064	422	422	0.013778357151344	0.000340744650601687	0.000340744650601687
LTR	25840	0	0	0.0208645539610132	0	0
LTR/Copia	176880	83	83	0.142822070612385	6.70184976301896e-05	6.70184976301896e-05
LTR/DIRS	15189	0	0	0.0122643850663247	0	0
LTR/Gypsy	2632908	24061	24061	2.12594624769286	0.0194280972467469	0.0194280972467469
LTR/Ngaro	36613	0	0	0.0295632319727004	0	0
LTR/Pao	1392353	4321	4321	1.12425790639623	0.00348899913566324	0.00348899913566324
LTR/Unknown	575179	844	844	0.464429306607648	0.000681489301203374	0.000681489301203374
Low_complexity	1085706	8834	8834	0.876655240820273	0.00713302901283247	0.00713302901283247
RC/Helitron	1302818	51865	51865	1.05196271139239	0.0418784865010817	0.0418784865010817
Satellite	312577	33	33	0.252390854623515	2.66459086963404e-05	2.66459086963404e-05
Simple_repeat	2418370	7768	7768	1.95271715799906	0.0062722854167628	0.0062722854167628
Unknown	27614838	2469306	2469306	22.2976500609767	1.99384552179775	1.99384552179775
snRNA	24528	73	73	0.019805177227389	5.89439798434198e-05	5.89439798434198e-05
tRNA	7627	0	0	0.00615843471596935	0	0
