#This file gives summary info for total, by class and by class/fam
#See file meloidogyne_arenaria.PRJNA438575.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file meloidogyne_arenaria.PRJNA438575.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file meloidogyne_arenaria.PRJNA438575.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
102401581	9115369	93286212	36.0527850816498	3.20927114882077	32.8435139328291


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	4597416	1.61862394467267
Same: class (but NOT same family)	472347	0.166300409707171
Same: class/fam	4125069	1.4523235349655
Same: name#class/fam	688235	0.242308646979477
Different: class	4517953	1.5906472041481


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	19495709	737017	475745	6.86390385507218	0.25948344979676	0.167496752210002
LINE	2406626	2866	2552	0.847306937086358	0.00100903990968663	0.00089848913102592
LTR	17785269	307254	96493	6.26170489375871	0.108175697282225	0.0339725359404718
Low_complexity	2407061	4904	4904	0.847460088642783	0.00172656375335075	0.00172656375335075
RC	2681916	16774	16774	0.944228987587975	0.00590566484476049	0.00590566484476049
Satellite	554021	0	0	0.195055582625435	0	0
Simple_repeat	5176527	14062	14062	1.82251302741466	0.0049508441067737	0.0049508441067737
Unknown	50844364	3513196	3513196	17.9009045563972	1.23689985155319	1.23689985155319
rRNA	965031	1235	1235	0.339760918731612	0.000434809591229236	0.000434809591229236
snRNA	50814	108	108	0.0178902142256862	3.80238346985891e-05	3.80238346985891e-05
tRNA	34243	0	0	0.0120560201072573	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	535651	1123	1123	0.18858801000124	0.000395377466356625	0.000395377466356625
DNA/CMC-EnSpm	540669	5093	5093	0.190354710024551	0.00179310546407328	0.00179310546407328
DNA/CMC-Transib	47465	16	16	0.0167111232774864	5.63316069608727e-06	5.63316069608727e-06
DNA/MULE-MuDR	1748054	94119	94119	0.615441817964884	0.0331367157221899	0.0331367157221899
DNA/Maverick	8168443	250415	250415	2.87588450348933	0.0881642459819184	0.0881642459819184
DNA/Merlin	179479	5639	5639	0.0631896280358155	0.00198533707282726	0.00198533707282726
DNA/PIF-Harbinger	190067	1272	1272	0.0669173721264512	0.000447836275338938	0.000447836275338938
DNA/TcMar-Mariner	205525	168	168	0.0723597095039585	5.91481873089164e-05	5.91481873089164e-05
DNA/TcMar-Pogo	67170	46	46	0.0236487127472614	1.61953370012509e-05	1.61953370012509e-05
DNA/TcMar-Tc1	1072447	29091	29091	0.377579143064794	0.0102421423631172	0.0102421423631172
DNA/TcMar-Tc2	2115868	38538	38538	0.744939028481799	0.0135681716816132	0.0135681716816132
DNA/TcMar-Tigger	123289	192	192	0.043406671816244	6.75979283530473e-05	6.75979283530473e-05
DNA/hAT	732741	10065	10065	0.25797798760073	0.0035436101503824	0.0035436101503824
DNA/hAT-Ac	2960650	33773	33773	1.04236357592942	0.0118905460118097	0.0118905460118097
DNA/hAT-Charlie	9460	0	0	0.0033306062615616	0	0
DNA/hAT-Tag1	149795	1939	1939	0.0527387066543996	0.000682668661857076	0.000682668661857076
DNA/hAT-Tip100	151443	28	28	0.0533189222060966	9.85803121815273e-06	9.85803121815273e-06
DNA/hAT-hAT19	351137	3539	3539	0.123625696708875	0.0012459847314658	0.0012459847314658
DNA/hAT-hATx	146356	689	689	0.0515279291772843	0.000242577982475258	0.000242577982475258
LINE/CR1	1476005	625	625	0.519660834576768	0.000220045339690909	0.000220045339690909
LINE/L1	652530	1315	1315	0.229737896813614	0.000462975394709673	0.000462975394709673
LINE/L1-Tx1	82011	0	0	0.0288738213654258	0	0
LINE/L2	117302	96	96	0.0412988134982768	3.37989641765236e-05	3.37989641765236e-05
LINE/R1	64298	516	516	0.0226375604023137	0.000181669432448815	0.000181669432448815
LINE/RTE-BovB	14480	0	0	0.00509801042995898	0	0
LTR/Copia	366405	1187	1187	0.129001140303116	0.000417910109140975	0.000417910109140975
LTR/Gypsy	7418911	37875	37875	2.6119948658106	0.0133347475852691	0.0133347475852691
LTR/Pao	6739678	23236	23236	2.37285557586775	0.00818075762089274	0.00818075762089274
LTR/Unknown	3260275	34195	34195	1.14785331177725	0.012039120625169	0.012039120625169
Low_complexity	2407061	4904	4904	0.847460088642783	0.00172656375335075	0.00172656375335075
RC/Helitron	2681916	16774	16774	0.944228987587975	0.00590566484476049	0.00590566484476049
Satellite	554021	0	0	0.195055582625435	0	0
Simple_repeat	5176527	14062	14062	1.82251302741466	0.0049508441067737	0.0049508441067737
Unknown	50844364	3513196	3513196	17.9009045563972	1.23689985155319	1.23689985155319
rRNA	965031	1235	1235	0.339760918731612	0.000434809591229236	0.000434809591229236
snRNA	50814	108	108	0.0178902142256862	3.80238346985891e-05	3.80238346985891e-05
tRNA	34243	0	0	0.0120560201072573	0	0
