#This file gives summary info for total, by class and by class/fam
#See file meloidogyne_enterolobii.PRJNA340324.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file meloidogyne_enterolobii.PRJNA340324.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file meloidogyne_enterolobii.PRJNA340324.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
49846860	4060981	45785879	30.7031384618607	2.50135839918473	28.2017800626759


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	2548927	1.57000979821347
Same: class (but NOT same family)	68779	0.0423643768186866
Same: class/fam	2480148	1.52764542139478
Same: name#class/fam	342705	0.211088904427921
Different: class	1512054	0.93134860097126


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	6158096	143653	78499	3.79307491283163	0.0884829646132508	0.0483514040025309
LINE	561860	8011	6869	0.346077272995351	0.00493436983228163	0.00423095573310978
LTR	4959843	41228	38745	3.05501181775723	0.0253943576888412	0.0238649555800464
Low_complexity	1498274	2950	2950	0.922860819634493	0.0018170504313108	0.0018170504313108
RC	949807	15798	15798	0.585032955597293	0.00973076702164338	0.00973076702164338
SINE	3555	0	0	0.0021896997570542	0	0
Satellite	484007	411	411	0.298123772239812	0.000253155161786013	0.000253155161786013
Simple_repeat	3147593	8832	8832	1.93875770109859	0.0054400642065549	0.0054400642065549
Unknown	32043076	2328031	2328031	19.7369101919745	1.43394906191692	1.43394906191692
rRNA	40749	13	13	0.0250993179747402	8.0073408837425e-06	8.0073408837425e-06


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	201340	1578	1578	0.124015231810209	0.000971967993426589	0.000971967993426589
DNA/CMC-Transib	6555	0	0	0.00403754765330247	0	0
DNA/MULE-MuDR	388733	13348	13348	0.239439818750759	0.0082216912397073	0.0082216912397073
DNA/Maverick	2150354	2888	2888	1.32450903836302	0.00177886157478833	0.00177886157478833
DNA/Merlin	30522	8	8	0.0188000044964299	4.92759438999538e-06	4.92759438999538e-06
DNA/PIF-Harbinger	5406	13	13	0.00332982190903938	8.0073408837425e-06	8.0073408837425e-06
DNA/Sola-3	2582	0	0	0.00159038108937101	0	0
DNA/TcMar-Mariner	184695	9626	9626	0.113762755732525	0.00592912794976194	0.00592912794976194
DNA/TcMar-Tc1	596874	4863	4863	0.367644121741763	0.00299536143981844	0.00299536143981844
DNA/TcMar-Tc2	753860	29895	29895	0.46433953835524	0.018413804286114	0.018413804286114
DNA/hAT	246559	5260	5260	0.151867843150359	0.00323989331142196	0.00323989331142196
DNA/hAT-Ac	1155399	10356	10356	0.711667203825784	0.00637877093784902	0.00637877093784902
DNA/hAT-hAT19	214008	117	117	0.131818077526766	7.20660679536825e-05	7.20660679536825e-05
DNA/hAT-hATx	221209	547	547	0.136253528427061	0.000336924266415934	0.000336924266415934
LINE/CR1	379342	6693	6693	0.233655438886204	0.00412254865652989	0.00412254865652989
LINE/L1	180294	176	176	0.111051962868728	0.000108407076579898	0.000108407076579898
LINE/L2	2224	0	0	0.00136987124041872	0	0
LTR/Caulimovirus	29952	0	0	0.0184489133961427	0	0
LTR/Copia	31893	19	19	0.0196444709850153	1.1703036676239e-05	1.1703036676239e-05
LTR/Gypsy	2762551	14099	14099	1.70159135120952	0.00868426916306811	0.00868426916306811
LTR/Pao	1405567	18066	18066	0.86575800799533	0.0111277400312071	0.0111277400312071
LTR/Unknown	729880	6561	6561	0.449569074171229	0.00404124334909496	0.00404124334909496
Low_complexity	1498274	2950	2950	0.922860819634493	0.0018170504313108	0.0018170504313108
RC/Helitron	949807	15798	15798	0.585032955597293	0.00973076702164338	0.00973076702164338
SINE/5S	3555	0	0	0.0021896997570542	0	0
Satellite	484007	411	411	0.298123772239812	0.000253155161786013	0.000253155161786013
Simple_repeat	3147593	8832	8832	1.93875770109859	0.0054400642065549	0.0054400642065549
Unknown	32043076	2328031	2328031	19.7369101919745	1.43394906191692	1.43394906191692
rRNA	40749	13	13	0.0250993179747402	8.0073408837425e-06	8.0073408837425e-06
