#This file gives summary info for total, by class and by class/fam
#See file meloidogyne_graminicola.GCA_014773135.1_ASM1477313v1_genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file meloidogyne_graminicola.GCA_014773135.1_ASM1477313v1_genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file meloidogyne_graminicola.GCA_014773135.1_ASM1477313v1_genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
4993011	153080	4839931	12.0171301851859	0.368431451232184	11.6486987339537


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	117772	0.283452501140036
Same: class (but NOT same family)	1591	0.00382920328527832
Same: class/fam	116181	0.279623297854758
Same: name#class/fam	56410	0.135767037914865
Different: class	35308	0.0849789500921476


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	367272	4683	4128	0.883946668127428	0.0112709987334748	0.00993523014558698
LINE	13427	363	363	0.0323159726658906	0.000873664860186065	0.000873664860186065
LTR	153176	1036	0	0.368662503096035	0.00249343469739053	0
Low_complexity	831648	1882	1882	2.00160229654	0.00452957924757624	0.00452957924757624
RC	139855	1776	1776	0.33660165019648	0.00427445948124091	0.00427445948124091
Satellite	6407	0	0	0.0154203051217965	0	0
Simple_repeat	2013994	8199	8199	4.84726111962968	0.0197332732470125	0.0197332732470125
Unknown	1463857	99833	99833	3.52319675272009	0.240277090873155	0.240277090873155
rRNA	3375	0	0	0.0081229170885068	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	16538	271	271	0.0398034971288075	0.00065224015732899	0.00065224015732899
DNA/CMC-Chapaev	58495	0	0	0.140785195582876	0	0
DNA/CMC-Transib	6682	0	0	0.0160821724401192	0	0
DNA/Crypton-A	25519	0	0	0.0614188803501052	0	0
DNA/MULE-MuDR	129414	2418	2418	0.31147235321245	0.00581961882074354	0.00581961882074354
DNA/Merlin	66080	1319	1319	0.159040699617342	0.00317455633770088	0.00317455633770088
DNA/P	3573	0	0	0.0085994615576992	0	0
DNA/TcMar-Mariner	7068	0	0	0.0170111934760196	0	0
DNA/TcMar-Tc2	15889	80	80	0.0382414902575658	0.000192543219875717	0.000192543219875717
DNA/hAT	15503	0	0	0.0373124692216655	0	0
DNA/hAT-Ac	20208	0	0	0.048636417340606	0	0
DNA/hAT-hobo	2303	40	40	0.0055428379421722	9.62716099378584e-05	9.62716099378584e-05
LINE/R2-NeSL	13427	363	363	0.0323159726658906	0.000873664860186065	0.000873664860186065
LTR/Gypsy	115859	0	0	0.278848311394758	0	0
LTR/Pao	20900	0	0	0.050301916192531	0	0
LTR/Unknown	16417	0	0	0.0395122755087455	0	0
Low_complexity	831648	1882	1882	2.00160229654	0.00452957924757624	0.00452957924757624
RC/Helitron	139855	1776	1776	0.33660165019648	0.00427445948124091	0.00427445948124091
Satellite	6407	0	0	0.0154203051217965	0	0
Simple_repeat	2013994	8199	8199	4.84726111962968	0.0197332732470125	0.0197332732470125
Unknown	1463857	99833	99833	3.52319675272009	0.240277090873155	0.240277090873155
rRNA	3375	0	0	0.0081229170885068	0	0
