#This file gives summary info for total, by class and by class/fam
#See file meloidogyne_hapla.PRJNA29083.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file meloidogyne_hapla.PRJNA29083.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file meloidogyne_hapla.PRJNA29083.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
7906431	427714	7478717	14.9128683097076	0.806741063852738	14.1061272458548


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	354268	0.668209465224383
Same: class (but NOT same family)	8052	0.0151874361048323
Same: class/fam	346216	0.653022029119551
Same: name#class/fam	64465	0.121591911139843
Different: class	73446	0.138531598628355


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	790572	25898	20801	1.49115272432557	0.0488480154300729	0.0392342099374835
LINE	279403	110	110	0.527001392200505	0.000207478635311917	0.000207478635311917
LTR	788704	3736	781	1.48762935986409	0.00704672892295747	0.00147309831071461
Low_complexity	710781	1349	1349	1.34065338077854	0.00254444253668887	0.00254444253668887
RC	83880	4568	4568	0.158211890272396	0.00861602187368033	0.00861602187368033
SINE	30571	0	0	0.0576620850920056	0	0
SINE?	12827	0	0	0.0241938950467814	0	0
Satellite	2743	0	0	0.00517376269691444	0	0
Simple_repeat	1375508	4451	4451	2.59444111546022	0.00839534005248493	0.00839534005248493
Unknown	3824923	314156	314156	7.21445276557421	0.592551437773187	0.592551437773187
rRNA	6519	0	0	0.012295938396349	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA/Ginger-1	39794	0	0	0.0750582255782038	0	0
DNA/MULE-MuDR	98105	3033	3033	0.185042650157051	0.00572075182637313	0.00572075182637313
DNA/Maverick	317394	6373	6373	0.598658854329005	0.0120205576622077	0.0120205576622077
DNA/Merlin	36452	76	76	0.0687546474035454	0.000143348875306415	0.000143348875306415
DNA/PIF-Harbinger	16321	58	58	0.0307841709720527	0.000109397825891738	0.000109397825891738
DNA/TcMar-Pogo	66661	2874	2874	0.125733939168434	0.00542085088987681	0.00542085088987681
DNA/TcMar-Tc2	133376	5217	5217	0.251569731485111	0.00984014582202064	0.00984014582202064
DNA/TcMar-Tigger	6454	0	0	0.0121733373845737	0	0
DNA/hAT	3095	571	571	0.00583769432991257	0.00107700273421004	0.00107700273421004
DNA/hAT-Ac	44886	2510	2510	0.0846626002237336	0.00473428522393556	0.00473428522393556
DNA/hAT-Tag1	969	89	89	0.00182769816015679	0.00016786907766146	0.00016786907766146
DNA/hAT-hAT19	26825	0	0	0.0505964944749288	0	0
DNA/hAT-hATx	240	0	0	0.000452680658862364	0	0
LINE/CR1	279403	110	110	0.527001392200505	0.000207478635311917	0.000207478635311917
LTR	4868	0	0	0.00918187269725828	0	0
LTR/ERVK	7354	0	0	0.0138708898553076	0	0
LTR/Gypsy	456274	192	192	0.86061006225736	0.000362144527089891	0.000362144527089891
LTR/Pao	148148	28	28	0.27943222603809	5.28127435339425e-05	5.28127435339425e-05
LTR/Unknown	172060	561	561	0.324534309016076	0.00105814104009078	0.00105814104009078
Low_complexity	710781	1349	1349	1.34065338077854	0.00254444253668887	0.00254444253668887
RC/Helitron	83880	4568	4568	0.158211890272396	0.00861602187368033	0.00861602187368033
SINE/tRNA-Core	30571	0	0	0.0576620850920056	0	0
SINE?	12827	0	0	0.0241938950467814	0	0
Satellite	2743	0	0	0.00517376269691444	0	0
Simple_repeat	1375508	4451	4451	2.59444111546022	0.00839534005248493	0.00839534005248493
Unknown	3824923	314156	314156	7.21445276557421	0.592551437773187	0.592551437773187
rRNA	6519	0	0	0.012295938396349	0	0
