#This file gives summary info for total, by class and by class/fam
#See file meloidogyne_javanica.PRJEB8714.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file meloidogyne_javanica.PRJEB8714.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file meloidogyne_javanica.PRJEB8714.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
67077999	6638369	60439630	28.4849092360402	2.81900684664644	25.6659023893937


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	3633706	1.54306608938133
Same: class (but NOT same family)	246530	0.104689835395373
Same: class/fam	3387176	1.43837625398596
Same: name#class/fam	530476	0.225268507367038
Different: class	3004663	1.27594075726511


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	9296072	259024	149766	3.94760981423574	0.109995456631855	0.0635986609654948
LINE	643697	21162	782	0.273348204983148	0.00898651805718121	0.000332079062504286
LTR	7918572	249848	132956	3.36264957305971	0.106098835816587	0.0564602350822505
Low_complexity	2231044	4291	4291	0.947420716017664	0.00182218830844743	0.00182218830844743
RC	790043	23310	23310	0.335494550867102	0.00989867384523646	0.00989867384523646
Satellite	889699	839	839	0.377813823313301	0.000356284313863294	0.000356284313863294
Simple_repeat	4763707	13185	13185	2.02292500588888	0.00559905682751792	0.00559905682751792
Unknown	40314618	3059600	3059600	17.1197449496911	1.29926994838634	1.29926994838634
rRNA	191858	222	222	0.0814731774602907	9.42730842403473e-05	9.42730842403473e-05
snRNA	33184	2225	2225	0.0140917028262688	0.000944854110066544	0.000944854110066544
tRNA	5505	0	0	0.00233771769704104	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	42227	18	18	0.0179318447216988	7.64376358705518e-06	7.64376358705518e-06
DNA/CMC-EnSpm	75359	1099	1099	0.0320014655642718	0.00046669423234298	0.00046669423234298
DNA/IS3EU	179340	7213	7213	0.0761573645390265	0.00306302593074606	0.00306302593074606
DNA/MULE-MuDR	120252	4175	4175	0.05106543660392	0.00177292849866419	0.00177292849866419
DNA/MULE-NOF	98118	474	474	0.0416661553130378	0.00020128577445912	0.00020128577445912
DNA/Maverick	3170595	22545	22545	1.34640436723885	0.00957381389278662	0.00957381389278662
DNA/Merlin	80863	22	22	0.0343387586077802	9.34237771751189e-06	9.34237771751189e-06
DNA/P	29585	0	0	0.0125633747623904	0	0
DNA/PIF-Harbinger	77847	476	476	0.0330580035534158	0.000202135081524348	0.000202135081524348
DNA/Sola-2	244496	251	251	0.103826090110036	0.000106588036686158	0.000106588036686158
DNA/Sola-3	138628	91	91	0.0588688699192381	3.86434714678901e-05	3.86434714678901e-05
DNA/TcMar-Mariner	545211	3387	3387	0.231525777170108	0.00143830151496422	0.00143830151496422
DNA/TcMar-Pogo	36381	27	27	0.0154493201700364	1.14656453805828e-05	1.14656453805828e-05
DNA/TcMar-Tc1	636769	7086	7086	0.270406205309197	0.00300909493210406	0.00300909493210406
DNA/TcMar-Tc2	1028924	53534	53534	0.436936211391509	0.0227334022149673	0.0227334022149673
DNA/hAT	375689	7635	7635	0.159537661014288	0.00324222972150924	0.00324222972150924
DNA/hAT-Ac	1604850	38094	38094	0.681505221815862	0.0161767516714045	0.0161767516714045
DNA/hAT-Blackjack	64144	1546	1546	0.0272389761960038	0.000656514361421518	0.000656514361421518
DNA/hAT-Charlie	26189	29	29	0.0111212513656327	1.23149524458111e-05	1.23149524458111e-05
DNA/hAT-Tag1	55860	9	9	0.0237211463318279	3.82188179352759e-06	3.82188179352759e-06
DNA/hAT-hAT19	558873	1250	1250	0.237327393732683	0.000530816915767721	0.000530816915767721
DNA/hAT-hATx	105872	805	805	0.0449589188049281	0.000341846093754412	0.000341846093754412
LINE/CR1	526735	773	773	0.223679878501528	0.000328257180710759	0.000328257180710759
LINE/L1	38127	4	4	0.0161907652379807	1.69861413045671e-06	1.69861413045671e-06
LINE/L2	78835	5	5	0.0334775612436386	2.12326766307088e-06	2.12326766307088e-06
LTR	20806	32	32	0.00883534139957056	1.35889130436537e-05	1.35889130436537e-05
LTR/Copia	107869	310	310	0.0458069519095586	0.000131642595110395	0.000131642595110395
LTR/ERVK	40526	97	97	0.0172095090627221	4.11913926635752e-05	4.11913926635752e-05
LTR/Gypsy	4015942	73270	73270	1.70538395707364	0.0311143643346407	0.0311143643346407
LTR/Pao	3156187	54520	54520	1.34028595914094	0.0231521105981249	0.0231521105981249
LTR/Unknown	577242	4727	4727	0.245127854473273	0.00200733724866721	0.00200733724866721
Low_complexity	2231044	4291	4291	0.947420716017664	0.00182218830844743	0.00182218830844743
RC/Helitron	790043	23310	23310	0.335494550867102	0.00989867384523646	0.00989867384523646
Satellite	889699	839	839	0.377813823313301	0.000356284313863294	0.000356284313863294
Simple_repeat	4763707	13185	13185	2.02292500588888	0.00559905682751792	0.00559905682751792
Unknown	40314618	3059600	3059600	17.1197449496911	1.29926994838634	1.29926994838634
rRNA	191858	222	222	0.0814731774602907	9.42730842403473e-05	9.42730842403473e-05
snRNA	33184	2225	2225	0.0140917028262688	0.000944854110066544	0.000944854110066544
tRNA	5505	0	0	0.00233771769704104	0	0
