TE	Superfamily	B.xylophilus	D.destructor	D.destructor	G.rostochiensis	G.pallida	G.rostochiensis	M.arenaria	M.enterolobii	M.grammicola	M.hapla	M.incognita	M.javanica 	P.redivivus
DNA	DNA	3.363047595	3.099680641	4.486855355	3.148910993	3.488268615	3.560026249	3.050379756	3.198106999	2.432969291	0	3.827498508	1.255272505	0
DNA	DNA/Academ-1	0	1.672097858	2.439332694	0	0	0	0	0	0	0	0	0	0
DNA	DNA/CMC-Chapaev	0	0	2.579783597	0	0	1.740362689	0	0	0	0	0	0	0
DNA	DNA/CMC-Chapaev-3	3.104828404	3.867938651	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/CMC-EnSpm	0	0	4.60753008	2.431363764	2.836956737	2.903632516	3.706973676	0	0	0	3.381656483	3.040997692	0
DNA	DNA/CMC-Transib	0	3.189490314	0	3.006037955	3.844228581	4.809101612	1.204119983	0	0	0	0	0	0
DNA	DNA/Crypton-S	0	0	0	0	0	0.698970004	0	0	0	0	0	0	0
DNA	DNA/Ginger-1	0	0	0	1.73239376	3.301247089	0	0	0	0	0	0	0	0
DNA	DNA/Ginger-2	0	2.167317335	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/IS3EU	0	0	2.975891136	0	0	0	0	0	0	0	3.244771761	3.858115932	0
DNA	DNA/Kolobok-Hydra	0	0	2.58546073	0	0	0	0	0	0	0	0	0	0
DNA	DNA/Kolobok-T2	1.113943352	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/MULE-MuDR	2.762678564	3.924124153	4.964843955	3.155639634	2.053078443	4.054689643	4.973677304	4.125416198	3.383456297	3.48187241	4.597574532	3.62065648	2.855519156
DNA	DNA/Maverick	3.190611798	0	3.898121576	2.582063363	3.072617477	4.188844147	5.39866034	3.460597189	0	3.804343918	4.74996036	4.35305024	1.707570176
DNA	DNA/Merlin	0	1.857332496	3.586474779	2.859738566	3.056142262	4.035109403	3.751202095	0.903089987	3.120244796	1.880813592	2.117271296	1.342422681	0
DNA	DNA/P-Fungi	0	2.835056102	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/PIF-HarbS	0	0	0	0	0.602059991	0	0	0	0	0	0	0	0
DNA	DNA/PIF-Harbinger	2.559906625	0	3.169968174	0.602059991	0	3.127428778	3.104487111	1.113943352	0	1.763427994	0	2.677606953	0.301029996
DNA	DNA/PIF-Spy	0	0	1.414973348	0	0	1.913813852	0	0	0	0	0	0	0
DNA	DNA/PiggyBac	0	2.475671188	3.500099192	0	0	0	0	0	0	0	0	0	0
DNA	DNA/Sola-2	0	2.88536122	1.755874856	2.589949601	0.77815125	4.911535786	0	0	0	0	0	2.399673721	0
DNA	DNA/Sola-3	0	0	3.406710459	0	1.84509804	0	0	0	0	0	0	1.959041392	0
DNA	DNA/TcMar-ISRm11	0	0	3.323664536	0	0	0	0	0	0	0	0	0	0
DNA	DNA/TcMar-Mariner	3.274619619	1.380211242	3.049992857	0.602059991	1.897627091	3.532754379	2.225309282	3.983445857	0	0	3.518777069	3.529815197	0
DNA	DNA/TcMar-Pogo	0	2.08278537	4.740970277	2.045322979	0	0	1.662757832	0	0	3.458486764	2.1430148	1.431363764	0
