TE	Superfamily	B.xylophilus	D.dipsaci	D.destructor	H.gylicines	G.rostochiensis	G.pallida	M.grammicola	M.hapla	M.enterolobii	M.arenaria	M.incognita	M.javanica	P.redivivus
DNA	DNA	3.363047595	4.486855355	3.099680641	3.148910993	3.560026249	3.488268615	3.198106999	3.050379756	0	2.432969291	1.255272505	3.827498508	0
DNA	DNA/Academ-1	0	2.439332694	1.672097858	0	0	0	0	0	0	0	0	0	0
DNA	DNA/CMC-Chapaev	0	2.579783597	0	0	1.740362689	0	0	0	0	0	0	0	0
DNA	DNA/CMC-Chapaev-3	3.104828404	0	3.867938651	0	0	0	0	0	0	0	0	0	0
DNA	DNA/CMC-EnSpm	0	4.60753008	0	2.431363764	2.903632516	2.836956737	0	3.706973676	0	0	3.040997692	3.381656483	0
DNA	DNA/CMC-Transib	0	0	3.189490314	3.006037955	4.809101612	3.844228581	0	1.204119983	0	0	0	0	0
DNA	DNA/Crypton-S	0	0	0	0	0.698970004	0	0	0	0	0	0	0	0
DNA	DNA/Ginger-1	0	0	0	1.73239376	0	3.301247089	0	0	0	0	0	0	0
DNA	DNA/Ginger-2	0	0	2.167317335	0	0	0	0	0	0	0	0	0	0
DNA	DNA/IS3EU	0	2.975891136	0	0	0	0	0	0	0	0	3.858115932	3.244771761	0
DNA	DNA/Kolobok-Hydra	0	2.58546073	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/Kolobok-T2	1.113943352	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/MULE-MuDR	2.762678564	4.964843955	3.924124153	3.155639634	4.054689643	2.053078443	4.125416198	4.973677304	3.48187241	3.383456297	3.62065648	4.597574532	2.855519156
DNA	DNA/Maverick	3.190611798	3.898121576	0	2.582063363	4.188844147	3.072617477	3.460597189	5.39866034	3.804343918	0	4.35305024	4.74996036	1.707570176
DNA	DNA/Merlin	0	3.586474779	1.857332496	2.859738566	4.035109403	3.056142262	0.903089987	3.751202095	1.880813592	3.120244796	1.342422681	2.117271296	0
DNA	DNA/P-Fungi	0	0	2.835056102	0	0	0	0	0	0	0	0	0	0
DNA	DNA/PIF-HarbS	0	0	0	0	0	0.602059991	0	0	0	0	0	0	0
DNA	DNA/PIF-Harbinger	2.559906625	3.169968174	0	0.602059991	3.127428778	0	1.113943352	3.104487111	1.763427994	0	2.677606953	0	0.301029996
DNA	DNA/PIF-Spy	0	1.414973348	0	0	1.913813852	0	0	0	0	0	0	0	0
DNA	DNA/PiggyBac	0	3.500099192	2.475671188	0	0	0	0	0	0	0	0	0	0
DNA	DNA/Sola-2	0	1.755874856	2.88536122	2.589949601	4.911535786	0.77815125	0	0	0	0	2.399673721	0	0
DNA	DNA/Sola-3	0	3.406710459	0	0	0	1.84509804	0	0	0	0	1.959041392	0	0
DNA	DNA/TcMar-ISRm11	0	3.323664536	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/TcMar-Mariner	3.274619619	3.049992857	1.380211242	0.602059991	3.532754379	1.897627091	3.983445857	2.225309282	0	0	3.529815197	3.518777069	0
DNA	DNA/TcMar-Pogo	0	4.740970277	2.08278537	2.045322979	0	0	0	1.662757832	3.458486764	0	1.431363764	2.1430148	0
DNA	DNA/TcMar-Tc1	3.473778835	4.003632837	2.784617293	2.742725131	0	0	3.68690427	4.46375865	0	0	3.850401148	3.391288049	3.190891717
DNA	DNA/TcMar-Tc2	0	5.14525236	3.698361566	3.788945727	3.938319543	2.666517981	4.475598558	4.585889172	3.717420837	1.903089987	4.728629695	3.942057684	0
DNA	DNA/TcMar-Tc4	4.720208934	2.334453751	4.892901196	0	1.770852012	0	0	0	0	0	0	0	0
DNA	DNA/TcMar-Tigger	2.793790385	4.146314122	2.606381365	0	0	0	0	2.283301229	0	0	0	0	0
DNA	DNA/Zator	0	0	0	0	0	0	0	0	0	0	0	0	1.929418926
DNA	DNA/Zisupton	0	0	0	0	0	0	0	0	0	0	0	2.28780173	0
DNA	DNA/hAT	0	4.33703974	0	2.774516966	3.088844563	2.212187604	3.720985744	4.002813779	2.756636108	0	3.882809041	3.908485019	0
DNA	DNA/hAT-Ac	4.634618317	4.453257168	3.935859798	3.786893325	4.141700557	4.384030665	4.015192042	4.52856964	3.399673721	0	4.580856577	4.569104587	0
DNA	DNA/hAT-Blackjack	0	1.322219295	0	0	3.519302849	1.799340549	0	0	0	0	3.18920949	1.602059991	0
DNA	DNA/hAT-Charlie	0	4.118066222	0	0	0	2.173186268	0	0	0	0	1.462397998	3.301680949	0
DNA	DNA/hAT-Tag1	2.603144373	3.163161375	0	2.771587481	0	2.356025857	0	3.287577809	1.949390007	0	0	0.954242509	0
DNA	DNA/hAT-Tip100	0	3.591398551	2.57054294	2.776701184	2.152288344	0	0	1.447158031	0	0	0	0	0
DNA	DNA/hAT-hAT19	0	1.447158031	2.7084209	3.839980558	3.912115729	3.29841638	2.068185862	3.548880563	0	0	3.096910013	3.428296814	0
DNA	DNA/hAT-hATm	0	3.773859552	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA/hAT-hATx	0	0	0	3.151982395	3.660770644	2.396199347	2.737987326	2.838219222	0	0	2.90579588	2.477121255	0
DNA	DNA/hAT-hobo	0	2.324282455	0	0	0	0	0	0	0	1.602059991	0	0	0
LINE	LINE/CR1	0	2.728353782	1.903089987	1.591064607	3.547897718	0	3.825620825	2.795880017	2.041392685	0	2.888179494	2.515873844	0.698970004
LINE	LINE/I	0	2.758154622	0	0	0	0	0	0	0	0	0	0	0
LINE	LINE/I-Jockey	0	3.405517107	0	0	2.309630167	0	0	0	0	0	0	0	0
LINE	LINE/L1	0	1.079181246	0	1.278753601	2.170261715	0	2.245512668	3.118925753	0	0	0.602059991	1.462397998	0
LINE	LINE/L2	0	0	0	2.727541257	2.257678575	0	0	1.982271233	0	0	0.698970004	1.740362689	0
LINE	LINE/Penelope	0	3.326540669	0	0	3.310693312	0	0	0	0	0	0	0	0
LINE	LINE/R1	0	0	0	0	0	0.602059991	0	2.712649702	0	0	0	0	0
LINE	LINE/R2-NeSL	0	0	0	0	0	0	0	0	0	2.559906625	0	0	3.555940438
LINE	LINE/Tad1	1.204119983	0	0	0	2.625312451	0	0	0	0	0	0	0	0
LTR	LTR	0	0	0	1.785329835	0	0	0	0	0	0	1.505149978	0	0
LTR	LTR/Copia	1.968482949	4.007363654	2.11058971	2.089905111	1.919078092	1.954242509	1.278753601	3.074450719	0	0	2.491361694	2.079181246	3.016197354
LTR	LTR/DIRS	0	0	0	0	0	0	0	0	0	0	0	0	0.77815125
LTR	LTR/ERV1	1.322219295	1.716003344	0	0	0	1.755874856	0	0	0	0	0	0	0
LTR	LTR/ERVK	0	3.219846386	0	0	0	0	0	0	0	0	1.986771734	0	0
LTR	LTR/Gypsy	4.576571684	4.915568665	3.363423933	3.581380689	4.381313673	3.50731604	4.149188311	4.578352642	2.283301229	0	4.864926192	4.713490543	3.40790054
LTR	LTR/Ngaro	0	2.311753861	0	0	0	0	0	0	0	0	0	0	0
LTR	LTR/Pao	1.681241237	1.342422681	1.301029996	2.198657087	3.635584266	1.851258349	4.256862006	4.366161368	1.447158031	0	4.736555847	4.015359755	0.602059991
LTR	LTR/Unknown	4.141951196	3.519171464	0.84509804	3.164650216	2.926342447	2.767897616	3.816970038	4.533962608	2.748962861	0	3.674585602	3.271841607	2
Low_complexity	Low_complexity	2.004321374	2.041392685	0	2.67669361	3.946157395	3.027349608	3.469822016	3.690550462	3.13001195	3.274619619	3.632558515	3.521530341	0
RC	RC/Helitron	4.644428741	5.17799508	4.270934913	3.252124553	4.714874382	1.924279286	4.198602109	4.224636639	3.659726095	3.249442961	4.367542274	4.252051637	3.663040975
SINE	SINE/5S	0	3.188365926	0	0.602059991	0	0	0	0	0	0	0	0	0
SINE	SINE/MIR	2.488550717	0	0	0	0	0	0	0	0	0	0	0	0
