Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: bursaphelenchus_xylophilus.PRJEB40022.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-1_family-107	24438	20766	3.04
DNA	rnd-1_family-114	27197	26900	11.51
DNA	rnd-1_family-198	40738	40366	9.64
DNA	rnd-1_family-333	1240	1203	16.07
DNA	rnd-1_family-96	12644	12320	11.66
DNA	rnd-4_family-214	23453	22161	9.31
DNA/CMC-Chapaev-3	rnd-1_family-52	39569	37945	10.79
DNA/Kolobok-T2	rnd-1_family-153	45265	44979	9.44
DNA/MULE-MuDR	rnd-1_family-200	54821	54407	6.92
DNA/MULE-MuDR	rnd-4_family-1499	10725	10200	15.76
DNA/MULE-MuDR	rnd-4_family-275	26946	26377	10.36
DNA/MULE-MuDR	rnd-4_family-753	15407	14300	10.89
DNA/MULE-MuDR	rnd-5_family-871	7341	6776	15.72
DNA/MULE-MuDR	rnd-5_family-883	55607	52545	10.74
DNA/Maverick	rnd-1_family-383	34499	34238	8.22
DNA/Maverick	rnd-1_family-493	18332	18326	0.08
DNA/PIF-Harbinger	rnd-5_family-605	8402	7975	20.75
DNA/TcMar-Mariner	rnd-1_family-163	35145	34595	9.36
DNA/TcMar-Mariner	rnd-1_family-216	21877	21741	16.23
DNA/TcMar-Mariner	rnd-1_family-234	77876	77512	13.02
DNA/TcMar-Mariner	rnd-1_family-249	51804	51513	13.43
DNA/TcMar-Mariner	rnd-1_family-298	12887	12753	19.97
DNA/TcMar-Mariner	rnd-1_family-318	29528	29425	5.70
DNA/TcMar-Mariner	rnd-1_family-343	28885	28760	4.61
DNA/TcMar-Mariner	rnd-1_family-415	1280	1259	18.77
DNA/TcMar-Tc1	ltr-1_family-12	126369	122057	11.62
DNA/TcMar-Tc1	rnd-1_family-154	142681	141799	8.25
DNA/TcMar-Tc1	rnd-1_family-156	58067	57943	9.96
DNA/TcMar-Tc1	rnd-1_family-159	30495	30175	9.13
DNA/TcMar-Tc1	rnd-1_family-167	61949	61395	14.61
DNA/TcMar-Tc1	rnd-1_family-170	41389	41262	13.01
DNA/TcMar-Tc1	rnd-1_family-173	8695	8645	15.16
DNA/TcMar-Tc1	rnd-1_family-182	25635	25245	17.78
DNA/TcMar-Tc1	rnd-1_family-187	4628	4546	19.56
DNA/TcMar-Tc1	rnd-1_family-217	5678	5584	19.68
DNA/TcMar-Tc1	rnd-1_family-243	32123	32033	6.51
DNA/TcMar-Tc1	rnd-1_family-264	18548	18344	16.54
DNA/TcMar-Tc1	rnd-1_family-334	2730	2718	7.37
DNA/TcMar-Tc1	rnd-1_family-341	26711	26574	2.66
DNA/TcMar-Tc1	rnd-1_family-87	46833	46746	2.89
DNA/TcMar-Tc1	rnd-4_family-296	87922	86087	16.40
DNA/TcMar-Tc1	rnd-5_family-1807	49153	48886	6.81
DNA/TcMar-Tc1	rnd-5_family-414	12500	11934	27.09
DNA/TcMar-Tc4	rnd-1_family-0	957516	951380	8.38
DNA/TcMar-Tc4	rnd-1_family-157	37963	37881	3.92
DNA/TcMar-Tc4	rnd-1_family-192	5519	5403	7.91
DNA/TcMar-Tc4	rnd-1_family-4	42467	42013	6.68
DNA/TcMar-Tc4	rnd-2_family-1	1573563	1536189	20.38
DNA/TcMar-Tc4	rnd-4_family-360	101408	95891	24.26
DNA/TcMar-Tigger	rnd-3_family-97	191297	183717	22.40
DNA/TcMar-Tigger	rnd-5_family-673	48135	46741	24.18
DNA/hAT-Ac	rnd-1_family-158	30929	30484	3.97
DNA/hAT-Ac	rnd-1_family-165	4075	3877	13.98
DNA/hAT-Ac	rnd-4_family-741	45737	44524	6.17
DNA/hAT-Ac	rnd-5_family-270	259401	194970	18.84
DNA/hAT-Ac	rnd-5_family-699	8781	8376	16.66
DNA/hAT-Tag1	rnd-5_family-602	4503	4357	4.81
LINE/RTE-RTE	rnd-1_family-295	5853	5783	16.02
LINE/Tad1	rnd-1_family-140	2647	2599	9.62
LTR/Copia	rnd-5_family-491	34112	32453	23.61
LTR/ERV1	rnd-1_family-101	36088	35564	7.41
LTR/Gypsy	ltr-1_family-22	9914	9759	6.24
LTR/Gypsy	ltr-1_family-25	6326	6302	5.19
LTR/Gypsy	ltr-1_family-29	7672	7618	9.07
LTR/Gypsy	ltr-1_family-31	63200	62875	3.78
LTR/Gypsy	ltr-1_family-33	8191	7975	10.70
LTR/Gypsy	ltr-1_family-40	16784	16726	3.19
LTR/Gypsy	ltr-1_family-43	22703	22304	4.88
LTR/Gypsy	ltr-1_family-52	8322	8301	2.91
LTR/Gypsy	ltr-1_family-58	15567	15215	15.45
LTR/Gypsy	rnd-1_family-259	19257	18795	8.17
LTR/Gypsy	rnd-1_family-58	5732	5635	16.77
LTR/Gypsy	rnd-4_family-659	159262	137931	13.12
LTR/Pao	ltr-1_family-10	6681	6662	4.44
LTR/Pao	ltr-1_family-14	11961	11960	1.07
LTR/Pao	ltr-1_family-16	4241	4241	2.48
LTR/Pao	ltr-1_family-18	21572	21557	0.46
LTR/Pao	ltr-1_family-2	7015	7015	0.83
LTR/Pao	ltr-1_family-20	12646	12504	15.04
LTR/Pao	ltr-1_family-35	2832	2828	0.45
LTR/Pao	ltr-1_family-37	11791	11721	15.76
LTR/Pao	ltr-1_family-39	4398	4398	4.41
LTR/Pao	ltr-1_family-4	40377	40376	0.06
LTR/Pao	ltr-1_family-46	34153	34083	2.32
LTR/Pao	ltr-1_family-49	45971	45028	10.62
LTR/Pao	ltr-1_family-55	7828	7825	1.10
LTR/Pao	ltr-1_family-56	4485	4484	1.66
LTR/Pao	ltr-1_family-57	14764	14746	4.01
LTR/Pao	ltr-1_family-61	11683	11639	2.80
LTR/Pao	ltr-1_family-63	3859	3857	2.45
LTR/Pao	ltr-1_family-64	29734	29299	2.48
LTR/Pao	ltr-1_family-67	23074	22968	2.80
LTR/Unknown	ltr-1_family-1	2835	2708	9.57
LTR/Unknown	ltr-1_family-11	219	219	1.91
LTR/Unknown	ltr-1_family-13	1135	1122	5.81
LTR/Unknown	ltr-1_family-15	7350	6768	9.39
LTR/Unknown	ltr-1_family-17	1623	1613	1.95
LTR/Unknown	ltr-1_family-19	2812	2741	12.22
LTR/Unknown	ltr-1_family-21	32465	32120	6.53
LTR/Unknown	ltr-1_family-23	1004	998	4.96
LTR/Unknown	ltr-1_family-24	40337	39594	12.72
LTR/Unknown	ltr-1_family-26	1380	1357	5.56
LTR/Unknown	ltr-1_family-27	6182	6176	1.79
LTR/Unknown	ltr-1_family-28	2759	2724	6.24
LTR/Unknown	ltr-1_family-3	4864	4790	4.66
LTR/Unknown	ltr-1_family-30	8613	8538	5.37
LTR/Unknown	ltr-1_family-32	4138	4119	7.27
LTR/Unknown	ltr-1_family-34	1196	1170	6.47
LTR/Unknown	ltr-1_family-36	2946	2876	14.39
LTR/Unknown	ltr-1_family-38	3423	3348	9.31
LTR/Unknown	ltr-1_family-41	1885	1864	6.46
LTR/Unknown	ltr-1_family-42	6299	6048	13.51
LTR/Unknown	ltr-1_family-45	4129	4029	12.01
LTR/Unknown	ltr-1_family-47	6130	6071	6.44
LTR/Unknown	ltr-1_family-48	1916	1847	12.26
LTR/Unknown	ltr-1_family-5	972	965	4.25
