Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: meloidogyne_hapla.PRJNA29083.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA/Ginger-1	rnd-1_family-20	37977	36964	4.20
DNA/MULE-MuDR	ltr-1_family-50	16385	15986	3.82
DNA/MULE-MuDR	rnd-1_family-138	5756	5523	12.43
DNA/MULE-MuDR	rnd-1_family-163	25518	25167	8.64
DNA/MULE-MuDR	rnd-1_family-217	7852	7781	8.54
DNA/MULE-MuDR	rnd-1_family-331	7154	7047	13.41
DNA/MULE-MuDR	rnd-1_family-393	11095	10853	13.66
DNA/MULE-MuDR	rnd-1_family-420	7447	7314	11.53
DNA/MULE-MuDR	rnd-1_family-442	5142	4943	20.08
DNA/Maverick	rnd-1_family-116	25657	25304	3.55
DNA/Maverick	rnd-1_family-223	13594	13260	10.25
DNA/Maverick	rnd-1_family-272	26755	25383	15.60
DNA/Maverick	rnd-1_family-287	52103	51003	20.07
DNA/Maverick	rnd-1_family-300	19205	18831	12.07
DNA/Maverick	rnd-1_family-315	24452	23723	16.91
DNA/Maverick	rnd-1_family-346	27822	27223	14.46
DNA/Maverick	rnd-1_family-350	13228	12726	13.10
DNA/Maverick	rnd-1_family-351	24628	24527	3.90
DNA/Maverick	rnd-1_family-362	1319	1305	12.53
DNA/Maverick	rnd-1_family-365	549	498	24.06
DNA/Maverick	rnd-1_family-406	1417	1354	24.90
DNA/Maverick	rnd-1_family-411	14282	13644	21.44
DNA/Maverick	rnd-1_family-415	6900	6835	6.39
DNA/Maverick	rnd-1_family-418	9371	9323	13.07
DNA/Maverick	rnd-1_family-428	88	82	12.03
DNA/Maverick	rnd-1_family-452	425	425	8.70
DNA/Maverick	rnd-1_family-466	141	125	37.20
DNA/Maverick	rnd-1_family-477	9742	9670	16.97
DNA/Maverick	rnd-1_family-489	632	499	20.78
DNA/Maverick	rnd-1_family-491	5678	5647	15.84
DNA/Maverick	rnd-1_family-512	11225	10651	17.28
DNA/Maverick	rnd-1_family-552	7059	7023	13.69
DNA/Maverick	rnd-1_family-566	3267	3248	16.68
DNA/Merlin	rnd-1_family-129	7336	7260	9.35
DNA/Merlin	rnd-1_family-169	10911	10583	12.90
DNA/Merlin	rnd-1_family-209	4508	4248	10.13
DNA/Merlin	rnd-1_family-254	6177	6058	8.03
DNA/Merlin	rnd-1_family-392	4588	4460	7.27
DNA/Merlin	rnd-1_family-531	164	163	19.08
DNA/PIF-Harbinger	rnd-1_family-149	6817	6623	9.12
DNA/PIF-Harbinger	rnd-1_family-241	2094	2017	10.26
