Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: heterodera_glycines.PRJNA381081.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-1_family-194	2548	2405	16.59
DNA	rnd-1_family-221	85680	72069	14.12
DNA	rnd-1_family-267	4922	4445	20.32
DNA	rnd-1_family-295	10084	9834	10.91
DNA	rnd-1_family-329	46744	40653	13.29
DNA	rnd-1_family-390	59762	59072	10.78
DNA	rnd-1_family-427	48539	44198	9.68
DNA	rnd-1_family-534	1177	1086	10.04
DNA	rnd-5_family-1104	28289	28186	6.73
DNA/CMC-Chapaev	rnd-5_family-294	24750	24613	7.80
DNA/CMC-Chapaev	rnd-5_family-558	23799	23253	17.97
DNA/CMC-EnSpm	rnd-1_family-1304	8805	8480	4.28
DNA/CMC-EnSpm	rnd-1_family-179	23112	21761	8.65
DNA/CMC-EnSpm	rnd-1_family-205	15608	14820	11.94
DNA/CMC-EnSpm	rnd-1_family-395	14666	13420	10.74
DNA/CMC-EnSpm	rnd-1_family-934	2803	2613	16.88
DNA/CMC-EnSpm	rnd-4_family-69	10514	9587	32.26
DNA/CMC-Transib	rnd-1_family-107	5930	5682	16.16
DNA/CMC-Transib	rnd-1_family-110	40186	37122	17.46
DNA/CMC-Transib	rnd-1_family-123	1941	1846	13.72
DNA/CMC-Transib	rnd-1_family-130	7927	7691	15.42
DNA/CMC-Transib	rnd-1_family-133	8702	8382	17.23
DNA/CMC-Transib	rnd-1_family-135	2787	2550	16.88
DNA/CMC-Transib	rnd-1_family-137	2034	1973	18.12
DNA/CMC-Transib	rnd-1_family-139	6319	6116	12.14
DNA/CMC-Transib	rnd-1_family-14	26940	25770	9.29
DNA/CMC-Transib	rnd-1_family-140	16364	15678	13.41
DNA/CMC-Transib	rnd-1_family-158	10813	10442	10.46
DNA/CMC-Transib	rnd-1_family-160	53962	53497	9.77
DNA/CMC-Transib	rnd-1_family-166	22132	20892	13.82
DNA/CMC-Transib	rnd-1_family-181	162	162	14.24
DNA/CMC-Transib	rnd-1_family-195	52388	50189	11.39
DNA/CMC-Transib	rnd-1_family-209	5985	5642	8.67
DNA/CMC-Transib	rnd-1_family-228	7429	7292	12.21
DNA/CMC-Transib	rnd-1_family-242	2988	2776	21.34
DNA/CMC-Transib	rnd-1_family-244	88823	86283	8.79
DNA/CMC-Transib	rnd-1_family-246	577	453	14.77
DNA/CMC-Transib	rnd-1_family-250	524	427	20.20
DNA/CMC-Transib	rnd-1_family-257	11297	10799	10.70
DNA/CMC-Transib	rnd-1_family-284	44210	43157	10.43
DNA/CMC-Transib	rnd-1_family-292	230	221	11.01
DNA/CMC-Transib	rnd-1_family-3	206864	199382	15.92
DNA/CMC-Transib	rnd-1_family-349	28914	26755	10.40
DNA/CMC-Transib	rnd-1_family-354	9652	8875	4.50
DNA/CMC-Transib	rnd-1_family-369	18016	17018	9.92
DNA/CMC-Transib	rnd-1_family-42	47598	43404	15.75
DNA/CMC-Transib	rnd-1_family-43	40997	38786	10.71
DNA/CMC-Transib	rnd-1_family-49	38885	35113	17.28
DNA/CMC-Transib	rnd-1_family-538	15976	15241	9.22
DNA/CMC-Transib	rnd-1_family-54	16416	15431	14.85
DNA/CMC-Transib	rnd-1_family-55	24813	23718	13.62
DNA/CMC-Transib	rnd-1_family-59	54295	51509	15.62
DNA/CMC-Transib	rnd-1_family-67	7701	7183	14.88
DNA/CMC-Transib	rnd-1_family-69	14550	12691	18.48
DNA/CMC-Transib	rnd-1_family-72	76393	73413	12.72
DNA/CMC-Transib	rnd-1_family-74	803	777	16.70
DNA/CMC-Transib	rnd-1_family-77	90995	86822	7.08
DNA/CMC-Transib	rnd-1_family-94	32003	30527	10.77
DNA/CMC-Transib	rnd-5_family-30	78124	71384	15.36
DNA/CMC-Transib	rnd-5_family-891	42964	40402	11.93
DNA/Crypton-S	rnd-1_family-509	34182	33540	9.00
DNA/Crypton-S	rnd-1_family-523	19096	18684	12.14
DNA/MULE-MuDR	rnd-1_family-1050	25145	24843	11.89
DNA/MULE-MuDR	rnd-1_family-1067	6271	6245	8.97
DNA/MULE-MuDR	rnd-1_family-1180	1254	1244	19.50
DNA/MULE-MuDR	rnd-1_family-1257	6933	6748	13.29
DNA/MULE-MuDR	rnd-1_family-1366	3367	3354	7.30
DNA/MULE-MuDR	rnd-1_family-273	101387	96219	14.52
DNA/MULE-MuDR	rnd-1_family-376	69288	67306	7.03
DNA/MULE-MuDR	rnd-1_family-428	27294	26327	11.41
DNA/MULE-MuDR	rnd-1_family-466	4672	4495	2.59
DNA/MULE-MuDR	rnd-1_family-512	13040	12513	15.65
DNA/MULE-MuDR	rnd-1_family-530	9239	8737	11.66
DNA/MULE-MuDR	rnd-1_family-645	66123	63855	23.28
DNA/MULE-MuDR	rnd-1_family-739	405	395	9.82
DNA/MULE-MuDR	rnd-1_family-76	88369	85136	7.90
DNA/MULE-MuDR	rnd-1_family-924	5140	4982	28.63
DNA/MULE-MuDR	rnd-1_family-935	49594	47080	23.78
DNA/MULE-MuDR	rnd-1_family-942	27719	26948	22.54
DNA/MULE-MuDR	rnd-1_family-997	13487	13220	17.54
DNA/MULE-MuDR	rnd-4_family-595	34092	33576	13.72
DNA/MULE-MuDR	rnd-5_family-2006	23468	23338	7.52
DNA/MULE-MuDR	rnd-5_family-2934	27858	27452	10.78
DNA/MULE-MuDR	rnd-5_family-5071	17687	17384	12.96
DNA/Maverick	ltr-1_family-152	4233	4204	3.87
DNA/Maverick	ltr-1_family-153	45446	44356	9.31
DNA/Maverick	ltr-1_family-226	4674	4642	2.44
DNA/Maverick	rnd-1_family-1009	17124	16859	20.12
DNA/Maverick	rnd-1_family-1010	43019	42383	23.91
DNA/Maverick	rnd-1_family-1016	51038	50542	17.38
DNA/Maverick	rnd-1_family-1026	12415	12128	21.68
DNA/Maverick	rnd-1_family-1040	6280	6173	18.78
DNA/Maverick	rnd-1_family-1054	1004	975	21.48
DNA/Maverick	rnd-1_family-1135	9832	9751	16.02
DNA/Maverick	rnd-1_family-1149	25545	25049	21.98
DNA/Maverick	rnd-1_family-1170	37621	37038	13.14
DNA/Maverick	rnd-1_family-1202	19868	19596	14.24
DNA/Maverick	rnd-1_family-1211	908	897	9.58
DNA/Maverick	rnd-1_family-1237	22507	22103	19.51
DNA/Maverick	rnd-1_family-1278	7113	7049	18.86
DNA/Maverick	rnd-1_family-1284	1696	1622	27.29
DNA/Maverick	rnd-1_family-1334	5738	5580	38.26
DNA/Maverick	rnd-1_family-1369	9168	9157	11.58
DNA/Maverick	rnd-1_family-1370	23745	23522	12.27
DNA/Maverick	rnd-1_family-144	290177	277297	11.35
DNA/Maverick	rnd-1_family-156	98358	93676	10.41
DNA/Maverick	rnd-1_family-420	66607	64536	5.24
DNA/Maverick	rnd-1_family-498	76012	74440	14.22
DNA/Maverick	rnd-1_family-536	367946	362610	15.99
DNA/Maverick	rnd-1_family-585	71281	69534	9.91
DNA/Maverick	rnd-1_family-686	8401	7672	28.74
DNA/Maverick	rnd-1_family-691	147121	142005	18.24
DNA/Maverick	rnd-1_family-744	77206	75700	20.95
DNA/Maverick	rnd-1_family-776	18007	17606	25.35
DNA/Maverick	rnd-1_family-801	45762	45479	4.91
DNA/Maverick	rnd-1_family-861	67762	66851	11.71
DNA/Maverick	rnd-1_family-872	67414	66600	16.25
DNA/Maverick	rnd-1_family-901	13881	13432	33.38
DNA/Maverick	rnd-1_family-902	58245	56612	18.11
DNA/Maverick	rnd-1_family-905	89002	87166	18.00
DNA/Maverick	rnd-1_family-916	6142	5893	11.49
DNA/Maverick	rnd-1_family-954	2018	1996	18.36
DNA/Maverick	rnd-1_family-956	3001	2890	23.57
