Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: meloidogyne_incognita.PRJEB8714.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-1_family-142	57995	55000	7.72
DNA	rnd-1_family-181	42315	40619	7.95
DNA	rnd-5_family-2496	53102	50588	11.38
DNA	rnd-5_family-3075	28077	27095	10.44
DNA	rnd-5_family-4370	11215	10608	12.44
DNA/CMC-EnSpm	rnd-1_family-333	72462	70962	14.57
DNA/IS3EU	rnd-3_family-422	310210	270123	15.22
DNA/MULE-MuDR	rnd-1_family-267	53703	50098	13.46
DNA/MULE-MuDR	rnd-1_family-310	37634	36319	14.34
DNA/MULE-MuDR	rnd-1_family-507	38214	37278	8.88
DNA/MULE-MuDR	rnd-1_family-876	11634	11517	13.88
DNA/MULE-MuDR	rnd-3_family-108	368718	303593	18.18
DNA/MULE-MuDR	rnd-5_family-4399	15509	15377	16.91
DNA/MULE-MuDR	rnd-6_family-1179	39966	38813	8.67
DNA/Maverick	rnd-1_family-483	112325	110455	19.16
DNA/Maverick	rnd-1_family-492	39738	39179	11.52
DNA/Maverick	rnd-1_family-493	260584	251607	25.24
DNA/Maverick	rnd-1_family-496	45821	44579	24.39
DNA/Maverick	rnd-1_family-498	199396	194880	22.91
DNA/Maverick	rnd-1_family-499	194492	192091	12.05
DNA/Maverick	rnd-1_family-528	69872	68279	19.53
DNA/Maverick	rnd-1_family-534	45410	43928	19.43
DNA/Maverick	rnd-1_family-545	13427	13327	10.07
DNA/Maverick	rnd-1_family-546	39961	39439	15.93
DNA/Maverick	rnd-1_family-547	36726	36153	19.63
DNA/Maverick	rnd-1_family-548	77381	74144	25.80
DNA/Maverick	rnd-1_family-553	94981	91186	23.59
DNA/Maverick	rnd-1_family-563	894	882	24.10
DNA/Maverick	rnd-1_family-564	20817	20458	10.50
DNA/Maverick	rnd-1_family-565	44178	43476	12.97
DNA/Maverick	rnd-1_family-566	36112	35271	19.04
DNA/Maverick	rnd-1_family-571	91102	89662	19.49
DNA/Maverick	rnd-1_family-572	90658	87605	24.75
DNA/Maverick	rnd-1_family-577	78481	77077	13.88
DNA/Maverick	rnd-1_family-615	3450	3421	25.15
DNA/Maverick	rnd-1_family-644	72307	71296	19.55
DNA/Maverick	rnd-1_family-652	22020	21942	6.82
DNA/Maverick	rnd-1_family-653	27068	26487	10.37
DNA/Maverick	rnd-1_family-679	61607	60439	18.89
DNA/Maverick	rnd-1_family-692	59874	59397	13.70
DNA/Maverick	rnd-1_family-710	180	180	14.81
DNA/Maverick	rnd-1_family-725	61818	61133	16.72
DNA/Maverick	rnd-1_family-729	66605	64531	21.17
DNA/Maverick	rnd-1_family-756	7949	7904	10.70
DNA/Maverick	rnd-1_family-791	37839	36978	16.80
DNA/Maverick	rnd-1_family-805	17348	16402	27.66
DNA/Maverick	rnd-1_family-825	58159	58000	14.02
DNA/Maverick	rnd-1_family-832	181	181	23.10
DNA/Maverick	rnd-1_family-852	10866	10676	9.60
DNA/Maverick	rnd-1_family-861	36613	36394	14.17
DNA/Maverick	rnd-1_family-885	1988	1988	9.42
DNA/Maverick	rnd-1_family-894	11378	11290	8.58
DNA/Maverick	rnd-1_family-910	34841	34617	11.80
DNA/Maverick	rnd-1_family-967	24752	24404	17.94
DNA/Maverick	rnd-5_family-2641	204371	199732	16.74
DNA/Maverick	rnd-5_family-308	200261	196039	19.60
DNA/Maverick	rnd-6_family-3518	78019	75311	12.16
DNA/Merlin	rnd-1_family-686	22435	22302	15.57
DNA/Merlin	rnd-1_family-783	10966	10883	12.31
DNA/Merlin	rnd-1_family-916	7710	7671	13.03
DNA/Merlin	rnd-5_family-1863	14787	14679	16.38
DNA/Merlin	rnd-5_family-4040	68241	65496	15.11
DNA/PIF-Harbinger	ltr-1_family-90	14934	14818	5.35
DNA/TcMar-Mariner	rnd-1_family-32	91899	87908	12.85
DNA/TcMar-Mariner	rnd-1_family-610	23394	23318	7.85
DNA/TcMar-Mariner	rnd-1_family-628	35835	35486	12.21
