#This file gives summary info for total, by class and by class/fam
#See file meloidogyne_incognita.PRJEB8714.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file meloidogyne_incognita.PRJEB8714.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file meloidogyne_incognita.PRJEB8714.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
47900541	4121007	43779534	26.5800792169528	2.28675272192891	24.2933264950239


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	2384495	1.32315971112785
Same: class (but NOT same family)	66892	0.0371184671793249
Same: class/fam	2317603	1.28604124394853
Same: name#class/fam	406430	0.225528592592433
Different: class	1736512	0.963593010801051


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	8151946	211671	171885	4.52352658088604	0.11745654287979	0.095379234155329
LINE	436250	7231	412	0.242075753557683	0.00401249231856872	0.0002286193936178
LTR	5034182	84337	64050	2.79347484514962	0.0467987228144281	0.0355414372845148
Low_complexity	1765587	3323	3323	0.97972677019289	0.00184393748784454	0.00184393748784454
RC	808335	17867	17867	0.448546256165156	0.0099144240431292	0.0099144240431292
SINE	27854	0	0	0.0154562247325976	0	0
Satellite	148391	0	0	0.0823423797047062	0	0
Simple_repeat	3809224	19392	19392	2.11374388600575	0.0107606487403796	0.0107606487403796
Unknown	27524911	2040585	2040585	15.2736127723396	1.13232355661548	1.13232355661548
rRNA	193861	89	89	0.107573748218787	4.93862282329714e-05	4.93862282329714e-05


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	249192	6722	6722	0.138276999840793	0.00373004748519139	0.00373004748519139
DNA/CMC-EnSpm	73073	2408	2408	0.0405483129850328	0.00133620266949433	0.00133620266949433
DNA/IS3EU	321345	1757	1757	0.178314803500272	0.000974961831520569	0.000974961831520569
DNA/MULE-MuDR	637651	39589	39589	0.353833458640252	0.0219679931406191	0.0219679931406191
DNA/Maverick	2807349	56229	56229	1.55780200498431	0.0312015531158623	0.0312015531158623
DNA/Merlin	136668	131	131	0.0758372701139745	7.26920887474073e-05	7.26920887474073e-05
DNA/PIF-Harbinger	14838	0	0	0.00823362757888572	0	0
DNA/TcMar-Mariner	250477	3302	3302	0.138990048192247	0.00183228455758732	0.00183228455758732
DNA/TcMar-Pogo	37137	139	139	0.0206073748077287	7.71313002739665e-05	7.71313002739665e-05
DNA/TcMar-Tc1	329362	2462	2462	0.182763448351325	0.0013661673472986	0.0013661673472986
DNA/TcMar-Tc2	908368	8751	8751	0.504054711994693	0.00485594250861497	0.00485594250861497
DNA/Zisupton	72697	194	194	0.0403396700432845	0.000107650879519061	0.000107650879519061
DNA/hAT	319022	8100	8100	0.177025767453247	0.00449470167064121	0.00449470167064121
DNA/hAT-Ac	1512587	37077	37077	0.839336705665454	0.0205740807212795	0.0205740807212795
DNA/hAT-Blackjack	25749	40	40	0.0142881571996717	2.21960576327961e-05	2.21960576327961e-05
DNA/hAT-Charlie	53344	2003	2003	0.0296006624590969	0.00111146758596227	0.00111146758596227
DNA/hAT-hAT19	284038	2681	2681	0.157613095447604	0.00148769076283816	0.00148769076283816
DNA/hAT-hATx	119049	300	300	0.0660604616281686	0.000166470432245971	0.000166470432245971
LINE/CR1	327344	328	328	0.18164365724375	0.000182007672588928	0.000182007672588928
LINE/L1	53320	29	29	0.0295873448245172	1.60921417837772e-05	1.60921417837772e-05
LINE/L1-Tx1	7926	0	0	0.00439814881993855	0	0
LINE/L2	47660	55	55	0.0264466026694766	3.05195792450947e-05	3.05195792450947e-05
LTR/Copia	42447	120	120	0.0235539014584824	6.65881728983883e-05	6.65881728983883e-05
LTR/Gypsy	2938134	51700	51700	1.63037478992194	0.028688404490389	0.028688404490389
LTR/Pao	1469785	10360	10360	0.815585814195481	0.00574877892689419	0.00574877892689419
LTR/Unknown	583816	1870	1870	0.323960339573712	0.00103766569433322	0.00103766569433322
Low_complexity	1765587	3323	3323	0.97972677019289	0.00184393748784454	0.00184393748784454
RC/Helitron	808335	17867	17867	0.448546256165156	0.0099144240431292	0.0099144240431292
SINE/tRNA	27854	0	0	0.0154562247325976	0	0
Satellite	148391	0	0	0.0823423797047062	0	0
Simple_repeat	3809224	19392	19392	2.11374388600575	0.0107606487403796	0.0107606487403796
Unknown	27524911	2040585	2040585	15.2736127723396	1.13232355661548	1.13232355661548
rRNA	193861	89	89	0.107573748218787	4.93862282329714e-05	4.93862282329714e-05
