#This file gives summary info for total, by class and by class/fam
#See file globodera_pallida.PRJEB123.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file globodera_pallida.PRJEB123.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file globodera_pallida.PRJEB123.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
28452216	2936759	25515457	27.4544125555374	2.83376848967362	24.6206440658638


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	1979894	1.910460214847
Same: class (but NOT same family)	11915	0.0114971475543145
Same: class/fam	1967979	1.89896306729268
Same: name#class/fam	142719	0.137713923777106
Different: class	956865	0.923308274826619


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	3264140	54656	42859	3.14966841946624	0.0527392443750411	0.0413559586261323
LINE	35821	4	4	0.0345647773850693	3.85972221714294e-06	3.85972221714294e-06
LTR	684366	4138	4020	0.66036566371431	0.00399288263363437	0.00387902082822865
Low_complexity	600371	1065	1065	0.57931632180708	0.00102765104031431	0.00102765104031431
RC	204143	84	84	0.196983818143553	8.10541665600016e-05	8.10541665600016e-05
SINE	35048	19	19	0.0338188860666064	1.83336805314289e-05	1.83336805314289e-05
Satellite	116612	236	236	0.112522481796368	0.000227723610811433	0.000227723610811433
Simple_repeat	1954785	5360	5360	1.88623177355944	0.00517202777097153	0.00517202777097153
Unknown	21497668	1914155	1914155	20.7437566990907	1.84702664513881	1.84702664513881
rRNA	10638	0	0	0.0102649312364916	0	0
snRNA	48624	177	177	0.0469187832715895	0.000170792708108575	0.000170792708108575


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	137214	3078	3078	0.132401981075763	0.00297005624609149	0.00297005624609149
DNA/CMC-EnSpm	116322	687	687	0.112242651935625	0.000662907290794299	0.000662907290794299
