Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: ditylenchus_destructor.PRJNA312427.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-1_family-198	81479	78997	12.18
DNA	rnd-1_family-2	56240	54138	4.56
DNA	rnd-1_family-509	8868	8302	14.12
DNA	rnd-4_family-41	89232	83518	12.10
DNA/Academ-1	rnd-1_family-115	8168	7764	15.84
DNA/Academ-1	rnd-1_family-16	43852	42057	13.58
DNA/Academ-1	rnd-1_family-51	30249	29319	13.09
DNA/Academ-1	rnd-5_family-1686	19859	18911	16.69
DNA/CMC-Chapaev-3	rnd-1_family-1	38255	36493	12.67
DNA/CMC-Chapaev-3	rnd-1_family-21	75456	74251	11.46
DNA/CMC-Chapaev-3	rnd-1_family-4	11795	10833	15.42
DNA/CMC-Chapaev-3	rnd-1_family-6	175908	171543	8.93
DNA/CMC-Chapaev-3	rnd-5_family-1780	50048	47938	9.25
DNA/CMC-Transib	rnd-1_family-18	101589	98534	13.39
DNA/Ginger-2	rnd-1_family-562	632	609	26.41
DNA/Ginger-2	rnd-1_family-795	5787	5688	8.25
DNA/Ginger-2	rnd-1_family-808	2900	2891	7.25
DNA/Ginger-2	rnd-5_family-560	14374	13975	9.57
DNA/Ginger-2	rnd-5_family-6234	10336	10143	9.60
DNA/MULE-MuDR	ltr-1_family-15	64932	55619	11.83
DNA/MULE-MuDR	rnd-1_family-123	28348	27240	7.59
DNA/MULE-MuDR	rnd-1_family-287	15312	14814	10.20
DNA/MULE-MuDR	rnd-1_family-391	11404	10161	7.45
DNA/MULE-MuDR	rnd-1_family-395	31217	28947	8.51
DNA/MULE-MuDR	rnd-1_family-414	8634	8119	11.56
DNA/MULE-MuDR	rnd-1_family-542	35048	30076	16.58
DNA/MULE-MuDR	rnd-5_family-255	12582	12129	6.35
DNA/MULE-MuDR	rnd-5_family-3056	19315	18119	10.47
DNA/MULE-MuDR	rnd-5_family-3158	16960	16769	6.55
DNA/MULE-MuDR	rnd-5_family-4982	29794	25820	8.26
DNA/Merlin	rnd-1_family-296	7506	7317	5.84
DNA/P-Fungi	rnd-4_family-391	82328	76437	18.12
DNA/PiggyBac	rnd-1_family-163	33716	32833	16.17
DNA/PiggyBac	rnd-1_family-426	21270	20921	12.85
DNA/Sola-2	rnd-5_family-1179	109154	101861	18.05
DNA/TcMar-Mariner	rnd-1_family-323	40712	40185	14.58
DNA/TcMar-Mariner	rnd-1_family-366	72421	71676	4.43
DNA/TcMar-Pogo	rnd-5_family-24	24593	24146	13.22
DNA/TcMar-Tc1	rnd-1_family-56	19145	18555	4.74
DNA/TcMar-Tc1	rnd-1_family-739	10898	10821	16.68
DNA/TcMar-Tc1	rnd-4_family-1072	134719	130940	19.52
DNA/TcMar-Tc1	rnd-5_family-3426	15762	15295	15.95
DNA/TcMar-Tc2	rnd-1_family-350	2864	2822	15.08
DNA/TcMar-Tc2	rnd-3_family-5	34265	33062	14.61
DNA/TcMar-Tc2	rnd-4_family-208	21231	18612	12.16
DNA/TcMar-Tc2	rnd-4_family-80	25238	22945	18.42
DNA/TcMar-Tc2	rnd-5_family-286	12775	11980	13.92
DNA/TcMar-Tc4	rnd-1_family-10	17904	16192	11.26
DNA/TcMar-Tc4	rnd-1_family-137	54008	49836	11.55
DNA/TcMar-Tc4	rnd-1_family-147	59745	54765	9.27
DNA/TcMar-Tc4	rnd-1_family-17	94702	86318	10.90
DNA/TcMar-Tc4	rnd-1_family-189	22272	21757	8.77
DNA/TcMar-Tc4	rnd-1_family-259	3123	2944	22.25
DNA/TcMar-Tc4	rnd-1_family-5	33436	25414	8.29
DNA/TcMar-Tigger	rnd-1_family-174	40822	39115	14.52
DNA/TcMar-Tigger	rnd-5_family-771	27456	25996	13.37
DNA/Zisupton	rnd-5_family-2572	8866	8642	4.82
DNA/hAT-Ac	rnd-1_family-0	117751	112229	7.30
DNA/hAT-Ac	rnd-1_family-169	43772	42019	7.59
DNA/hAT-Ac	rnd-1_family-396	17882	16724	7.92
DNA/hAT-Ac	rnd-1_family-600	7760	6942	9.51
DNA/hAT-Ac	rnd-1_family-616	11823	11615	8.75
DNA/hAT-Ac	rnd-1_family-746	2771	2578	10.82
DNA/hAT-Ac	rnd-5_family-350	16213	15177	9.38
DNA/hAT-Ac	rnd-5_family-937	9635	8094	7.89
DNA/hAT-Tip100	rnd-1_family-120	35880	34884	7.60
DNA/hAT-Tip100	rnd-1_family-383	14535	14263	5.26
DNA/hAT-Tip100	rnd-4_family-553	8694	8315	20.56
DNA/hAT-Tip100	rnd-5_family-33	17907	17399	8.37
DNA/hAT-hAT19	rnd-1_family-469	20406	19326	15.61
DNA/hAT-hAT19	rnd-5_family-1038	81818	74801	15.28
DNA/hAT-hAT19	rnd-5_family-4021	7289	7204	6.47
DNA/hAT-hAT19	rnd-5_family-923	11686	11226	8.39
LINE/CR1	rnd-1_family-218	19501	19056	12.17
LINE/CR1	rnd-1_family-651	30206	29271	5.12
LINE/CR1	rnd-1_family-701	17834	17486	15.98
