Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: meloidogyne_enterolobii.PRJNA340324.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-4_family-1259	79040	69491	20.71
DNA	rnd-4_family-197	53298	48708	16.38
DNA	rnd-5_family-1150	45926	44277	19.05
DNA/CMC-Transib	rnd-1_family-789	4769	4652	16.05
DNA/MULE-MuDR	rnd-1_family-451	31078	30297	8.99
DNA/MULE-MuDR	rnd-1_family-532	27973	25555	6.69
DNA/MULE-MuDR	rnd-4_family-679	198109	156411	18.17
DNA/MULE-MuDR	rnd-5_family-12451	10235	9459	14.44
DNA/MULE-MuDR	rnd-5_family-5550	39503	35667	14.49
DNA/Maverick	rnd-1_family-388	242442	239253	19.78
DNA/Maverick	rnd-1_family-431	325538	312220	26.73
DNA/Maverick	rnd-1_family-526	72069	71044	14.76
DNA/Maverick	rnd-1_family-537	49659	48394	22.28
DNA/Maverick	rnd-1_family-541	105471	103617	19.96
DNA/Maverick	rnd-1_family-542	109196	105422	19.13
DNA/Maverick	rnd-1_family-575	90481	88565	19.35
DNA/Maverick	rnd-1_family-586	60813	60112	16.79
DNA/Maverick	rnd-1_family-598	88102	86916	21.97
DNA/Maverick	rnd-1_family-624	4383	4321	20.66
DNA/Maverick	rnd-1_family-627	48749	48210	18.14
DNA/Maverick	rnd-1_family-654	1850	1831	18.43
DNA/Maverick	rnd-1_family-659	295	290	18.54
DNA/Maverick	rnd-1_family-673	12547	12450	11.41
DNA/Maverick	rnd-1_family-700	76761	75352	15.45
DNA/Maverick	rnd-1_family-703	79680	78271	17.70
DNA/Maverick	rnd-1_family-711	71633	70849	16.16
DNA/Maverick	rnd-1_family-729	6687	6680	14.97
DNA/Maverick	rnd-1_family-731	35336	34971	15.63
DNA/Maverick	rnd-1_family-740	92	89	10.67
DNA/Maverick	rnd-1_family-751	11810	11763	14.66
DNA/Maverick	rnd-1_family-758	40828	40708	10.65
DNA/Maverick	rnd-1_family-762	5596	5418	23.81
DNA/Maverick	rnd-1_family-800	32079	31553	22.29
DNA/Maverick	rnd-1_family-826	50551	49824	13.79
DNA/Maverick	rnd-1_family-843	29533	29310	11.70
DNA/Maverick	rnd-1_family-860	471	465	18.92
DNA/Maverick	rnd-1_family-870	39177	38809	14.07
DNA/Maverick	rnd-1_family-875	849	849	9.50
DNA/Maverick	rnd-1_family-891	38619	38529	12.84
DNA/Maverick	rnd-1_family-912	15277	14966	18.86
DNA/Maverick	rnd-5_family-1244	70611	69074	11.24
DNA/Maverick	rnd-5_family-3728	36801	35583	21.60
DNA/Maverick	rnd-5_family-461	41238	40398	10.23
DNA/Maverick	rnd-5_family-4835	46172	45400	8.14
DNA/Maverick	rnd-5_family-504	62883	62365	15.33
DNA/Maverick	rnd-5_family-5771	27824	27267	19.49
DNA/Maverick	rnd-5_family-898	101967	100296	13.26
DNA/Merlin	rnd-1_family-903	7806	7692	10.43
DNA/Merlin	rnd-5_family-358	19998	19481	15.41
DNA/PIF-Harbinger	rnd-1_family-915	5200	5068	11.79
DNA/Sola-3	rnd-1_family-275	1185	1139	14.69
DNA/TcMar-Mariner	rnd-1_family-499	75652	75140	10.80
DNA/TcMar-Mariner	rnd-1_family-666	24740	24643	7.43
DNA/TcMar-Mariner	rnd-1_family-695	22707	22643	10.90
DNA/TcMar-Mariner	rnd-1_family-813	20655	20376	10.38
DNA/TcMar-Mariner	rnd-5_family-1540	30811	30694	10.96
DNA/TcMar-Tc1	rnd-1_family-235	148832	147615	12.80
DNA/TcMar-Tc1	rnd-1_family-236	74262	73051	23.24
DNA/TcMar-Tc1	rnd-1_family-329	45412	43322	14.06
DNA/TcMar-Tc1	rnd-1_family-350	28998	28116	25.74
DNA/TcMar-Tc1	rnd-1_family-414	76011	75569	6.27
DNA/TcMar-Tc1	rnd-1_family-448	39940	38211	13.67
DNA/TcMar-Tc1	rnd-1_family-478	2222	2215	18.59
DNA/TcMar-Tc1	rnd-1_family-528	18013	16999	27.99
DNA/TcMar-Tc1	rnd-1_family-785	1384	1384	14.45
DNA/TcMar-Tc1	rnd-1_family-809	8747	8625	12.37
DNA/TcMar-Tc1	rnd-1_family-894	120	120	9.86
DNA/TcMar-Tc1	rnd-5_family-14045	107889	100208	12.83
DNA/TcMar-Tc2	rnd-1_family-171	43735	42940	18.46
DNA/TcMar-Tc2	rnd-1_family-188	57258	54108	13.10
DNA/TcMar-Tc2	rnd-1_family-195	35522	34059	20.07
DNA/TcMar-Tc2	rnd-1_family-207	27384	26832	14.45
DNA/TcMar-Tc2	rnd-1_family-220	45785	45067	14.05
DNA/TcMar-Tc2	rnd-1_family-227	22609	22271	12.49
DNA/TcMar-Tc2	rnd-1_family-242	19844	19591	14.59
DNA/TcMar-Tc2	rnd-1_family-252	73200	70815	18.54
DNA/TcMar-Tc2	rnd-1_family-253	33865	33202	16.46
DNA/TcMar-Tc2	rnd-1_family-256	4386	4335	11.45
DNA/TcMar-Tc2	rnd-1_family-262	43110	41441	17.67
DNA/TcMar-Tc2	rnd-1_family-266	23641	23241	15.62
DNA/TcMar-Tc2	rnd-1_family-310	9748	9671	12.91
DNA/TcMar-Tc2	rnd-1_family-337	21660	20901	16.31
DNA/TcMar-Tc2	rnd-1_family-360	395	395	13.19
DNA/TcMar-Tc2	rnd-1_family-372	44323	43623	15.03
DNA/TcMar-Tc2	rnd-1_family-563	1898	1892	5.06
DNA/TcMar-Tc2	rnd-1_family-569	621	615	12.88
DNA/TcMar-Tc2	rnd-5_family-10771	49172	46868	17.01
DNA/TcMar-Tc2	rnd-5_family-11477	14524	13751	16.79
DNA/TcMar-Tc2	rnd-5_family-2585	87702	84994	13.64
DNA/TcMar-Tc2	rnd-5_family-293	17332	17021	7.64
DNA/hAT	rnd-1_family-180	34632	32096	10.66
DNA/hAT	rnd-1_family-212	17949	17587	14.46
DNA/hAT	rnd-1_family-279	42238	41421	10.69
DNA/hAT	rnd-1_family-340	25128	22448	11.60
DNA/hAT	rnd-1_family-645	11461	10864	11.70
DNA/hAT	rnd-6_family-351	63659	57791	12.47
DNA/hAT-Ac	rnd-1_family-118	119741	117600	12.39
DNA/hAT-Ac	rnd-1_family-143	17721	16252	13.67
DNA/hAT-Ac	rnd-1_family-146	28130	27219	7.64
DNA/hAT-Ac	rnd-1_family-210	55624	53712	10.60
DNA/hAT-Ac	rnd-1_family-231	107796	104749	13.57
DNA/hAT-Ac	rnd-1_family-24	113803	107726	14.44
DNA/hAT-Ac	rnd-1_family-344	16169	15986	12.40
DNA/hAT-Ac	rnd-1_family-413	17559	17293	11.09
DNA/hAT-Ac	rnd-1_family-428	18337	17747	12.90
DNA/hAT-Ac	rnd-1_family-434	34239	32087	12.69
DNA/hAT-Ac	rnd-1_family-474	20983	18978	11.81
DNA/hAT-Ac	rnd-1_family-475	721	720	6.50
DNA/hAT-Ac	rnd-1_family-512	14868	14595	15.61
DNA/hAT-Ac	rnd-1_family-61	55369	51862	12.61
DNA/hAT-Ac	rnd-1_family-691	4597	4536	14.83
DNA/hAT-Ac	rnd-1_family-88	37542	36405	13.80
DNA/hAT-Ac	rnd-4_family-770	45974	43414	9.42
DNA/hAT-Ac	rnd-5_family-4436	101215	94554	14.61
DNA/hAT-Ac	rnd-5_family-4859	7016	6963	5.15
DNA/hAT-Ac	rnd-5_family-4898	13582	13158	15.23
DNA/hAT-Ac	rnd-5_family-5569	5972	5956	5.68
DNA/hAT-Ac	rnd-5_family-999	13500	13415	9.66
DNA/hAT-Ac	rnd-6_family-2534	68432	62453	15.15
DNA/hAT-hAT19	rnd-1_family-343	43659	42455	10.22
DNA/hAT-hAT19	rnd-1_family-394	57755	55685	12.86
DNA/hAT-hAT19	rnd-4_family-1392	53134	51556	17.00
DNA/hAT-hAT19	rnd-5_family-193	22396	21779	16.65
DNA/hAT-hATx	rnd-1_family-16	46539	43809	10.96
DNA/hAT-hATx	rnd-1_family-169	128642	125432	15.15
DNA/hAT-hATx	rnd-1_family-208	760	616	10.80
DNA/hAT-hATx	rnd-1_family-250	9279	8987	8.71
LINE/CR1	rnd-1_family-594	49311	47461	23.62
LINE/CR1	rnd-1_family-600	36581	35896	25.67
LINE/CR1	rnd-1_family-764	2679	2665	12.90
LINE/CR1	rnd-4_family-426	42168	40664	24.63
LINE/CR1	rnd-5_family-1004	22576	21909	14.80
LINE/CR1	rnd-5_family-1522	97152	94086	20.54
LINE/CR1	rnd-5_family-1777	25008	24911	12.17
LINE/CR1	rnd-5_family-2231	18943	18436	8.92
LINE/CR1	rnd-5_family-4645	24042	23576	18.34
LINE/CR1	rnd-5_family-8151	15288	14888	14.20
LINE/CR1	rnd-6_family-273	20259	19922	11.01
LINE/CR1	rnd-6_family-50	18068	17680	20.25
LINE/L1	rnd-1_family-610	69888	67313	16.25
LINE/L1	rnd-4_family-1293	87299	80905	14.19
LINE/L2	rnd-1_family-721	1223	1165	22.19
LTR/Caulimovirus	rnd-1_family-471	30109	29579	13.94
LTR/Copia	rnd-5_family-2901	17718	17526	10.63
LTR/Copia	rnd-5_family-3641	13656	13370	11.63
LTR/Gypsy	ltr-1_family-10	26072	25421	5.41
LTR/Gypsy	ltr-1_family-101	55174	52978	21.55
LTR/Gypsy	ltr-1_family-104	92634	88497	12.58
LTR/Gypsy	ltr-1_family-105	2134	2134	3.29
LTR/Gypsy	ltr-1_family-108	1998	1959	10.67
LTR/Gypsy	ltr-1_family-12	19370	19183	9.46
LTR/Gypsy	ltr-1_family-14	23906	23563	7.11
LTR/Gypsy	ltr-1_family-18	20769	20352	12.76
LTR/Gypsy	ltr-1_family-2	25112	24675	11.34
LTR/Gypsy	ltr-1_family-20	68005	67071	9.54
LTR/Gypsy	ltr-1_family-22	65157	63800	21.91
LTR/Gypsy	ltr-1_family-24	8730	8560	7.84
LTR/Gypsy	ltr-1_family-28	5933	5857	11.02
LTR/Gypsy	ltr-1_family-3	1706	1671	9.01
LTR/Gypsy	ltr-1_family-38	65047	64538	8.22
LTR/Gypsy	ltr-1_family-4	13369	12913	8.36
LTR/Gypsy	ltr-1_family-44	65968	63434	12.39
