#This file gives summary info for total, by class and by class/fam
#See file globodera_rostochiensis.PRJEB13504.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file globodera_rostochiensis.PRJEB13504.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file globodera_rostochiensis.PRJEB13504.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
26011436	3091975	22919461	28.4409333341963	3.3807689374013	25.060164396795


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	1820253	1.99026667441086
Same: class (but NOT same family)	36361	0.0397571582347363
Same: class/fam	1783892	1.95050951617613
Same: name#class/fam	134200	0.146734430711521
Different: class	1271722	1.39050226299044


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	3770582	60691	28739	4.12275859330184	0.0663596075582184	0.0314232548749508
LINE	259717	592	592	0.283974859471714	0.000647293464837707	0.000647293464837707
LTR	970957	8660	5617	1.06164547422031	0.00946885372549754	0.00614163410809696
Low_complexity	487351	475	475	0.532870130713043	0.000519365533442417	0.000519365533442417
RC	225813	1787	1787	0.246904187796279	0.00195390780686652	0.00195390780686652
SINE	63958	1385	19	0.0699317490271792	0.00151436055540578	2.07746213376967e-05
Satellite	251049	1812	1812	0.274497258537232	0.00198124283494244	0.00198124283494244
Simple_repeat	1569014	5514	5514	1.71556166966025	0.00602901379242418	0.00602901379242418
Unknown	18374401	1739333	1739333	20.0905906885261	1.90178865553474	1.90178865553474
snRNA	38594	4	4	0.0421987229424771	4.37360449214667e-06	4.37360449214667e-06


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	207432	1409	1409	0.226806381753742	0.00154060218235866	0.00154060218235866
DNA/CMC-EnSpm	101103	270	270	0.110546133742376	0.0002952183032199	0.0002952183032199
DNA/CMC-Transib	241716	1014	1014	0.264292545855931	0.00110870873875918	0.00110870873875918
DNA/Ginger-1	7230	54	54	0.0079052901195551	5.904366064398e-05	5.904366064398e-05
DNA/MULE-MuDR	401350	1431	1431	0.438836540730766	0.00156465700706547	0.00156465700706547
DNA/Maverick	391741	382	382	0.428330049339507	0.000417679229000007	0.000417679229000007
DNA/Merlin	76145	724	724	0.083257028513627	0.000791622413078547	0.000791622413078547
