Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: meloidogyne_javanica.PRJEB8714.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-1_family-321	84	84	3.29
DNA	rnd-1_family-478	28222	27334	8.82
DNA	rnd-6_family-976	12222	12140	8.88
DNA/CMC-EnSpm	rnd-1_family-238	53997	49665	12.19
DNA/IS3EU	rnd-4_family-1064	139024	118684	17.27
DNA/MULE-MuDR	rnd-6_family-12217	20423	20114	20.10
DNA/MULE-MuDR	rnd-6_family-1437	46594	44445	11.37
DNA/MULE-MuDR	rnd-6_family-3222	39703	34905	8.34
DNA/MULE-NOF	rnd-1_family-270	98933	97629	14.29
DNA/Maverick	ltr-1_family-87	41330	39398	17.07
DNA/Maverick	rnd-1_family-457	230605	219996	20.15
DNA/Maverick	rnd-1_family-459	287750	280280	26.16
DNA/Maverick	rnd-1_family-463	134948	127491	23.23
DNA/Maverick	rnd-1_family-505	73912	70556	17.44
DNA/Maverick	rnd-1_family-509	159944	154713	27.49
DNA/Maverick	rnd-1_family-514	19006	18645	23.64
DNA/Maverick	rnd-1_family-524	170223	163960	20.12
DNA/Maverick	rnd-1_family-529	17666	17277	19.62
DNA/Maverick	rnd-1_family-535	41170	39502	22.08
DNA/Maverick	rnd-1_family-544	41130	39096	32.51
DNA/Maverick	rnd-1_family-556	38963	38354	14.94
DNA/Maverick	rnd-1_family-559	12112	11791	18.51
DNA/Maverick	rnd-1_family-575	21529	20683	24.67
DNA/Maverick	rnd-1_family-585	11325	10980	14.49
DNA/Maverick	rnd-1_family-586	177582	173072	21.35
DNA/Maverick	rnd-1_family-592	79916	77886	25.96
DNA/Maverick	rnd-1_family-597	120	120	20.46
DNA/Maverick	rnd-1_family-612	49644	48810	16.23
DNA/Maverick	rnd-1_family-615	298	289	32.95
DNA/Maverick	rnd-1_family-638	20244	19757	21.56
DNA/Maverick	rnd-1_family-664	233	229	32.59
DNA/Maverick	rnd-1_family-701	78413	77209	20.25
DNA/Maverick	rnd-1_family-748	198	198	21.31
DNA/Maverick	rnd-5_family-353	208975	204581	10.53
DNA/Maverick	rnd-5_family-3930	130194	127389	10.82
DNA/Maverick	rnd-5_family-4942	81680	77122	16.09
DNA/Maverick	rnd-5_family-6191	44305	43892	12.60
DNA/Maverick	rnd-5_family-6303	174645	171882	15.02
DNA/Maverick	rnd-5_family-7746	132354	129714	16.80
DNA/Maverick	rnd-5_family-884	192956	188630	10.28
DNA/Maverick	rnd-5_family-8928	146193	142887	14.37
DNA/Maverick	rnd-5_family-959	215443	211423	17.20
DNA/Maverick	rnd-6_family-187	22966	22707	19.81
DNA/Merlin	rnd-1_family-467	5943	5759	10.34
