#This file gives summary info for total, by class and by class/fam
#See file ditylenchus_dipsaci.PRJNA498219.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file ditylenchus_dipsaci.PRJNA498219.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file ditylenchus_dipsaci.PRJNA498219.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
147610757	19020622	128590135	64.9612827943158	8.37069079366477	56.590592000651


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	11483453	5.05369563133015
Same: class (but NOT same family)	566912	0.249489478273533
Same: class/fam	10916541	4.80420615305661
Same: name#class/fam	1803503	0.793694651964946
Different: class	7537169	3.31699516233462


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	26718418	1029859	481580	11.7583754923413	0.453225517549994	0.211936143434903
LINE	656961	6021	5785	0.289118694146637	0.00264975189921	0.00254589183473341
LTR	3898437	116143	97746	1.71564372109293	0.0511127943580713	0.0430165502641058
Low_complexity	153140	110	110	0.067394619804853	4.84093520865471e-05	4.84093520865471e-05
RC	2634269	150659	150659	1.15930232283342	0.0663027688727919	0.0663027688727919
SINE	175271	1543	1543	0.0771341413596473	0.000679051184268566	0.000679051184268566
Satellite	795614	36	36	0.350137802281692	1.584306068287e-05	1.584306068287e-05
Simple_repeat	1168955	3780	3780	0.514439583348452	0.00166352137170135	0.00166352137170135
Unknown	111345883	10173224	10173224	49.0016550321317	4.47708347701192	4.47708347701192
rRNA	27270	1664	1664	0.012001118467274	0.000732301471563768	0.000732301471563768
snRNA	10998	0	0	0.00484005503861678	0	0
tRNA	25541	414	414	0.0112402114694773	0.000182195197853005	0.000182195197853005


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	2160016	30680	30680	0.950590682332502	0.013501808381957	0.013501808381957
