#This file gives summary info for total, by class and by class/fam
#See file panagrellus_redivivus.PRJNA186477.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file panagrellus_redivivus.PRJNA186477.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file panagrellus_redivivus.PRJNA186477.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
5153391	226487	4926904	8.30214331930593	0.364871893857781	7.93727142544815


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	195409	0.31480505241738
Same: class (but NOT same family)	5	8.05502951290318e-06
Same: class/fam	195404	0.314796997387867
Same: name#class/fam	23643	0.038089012554714
Different: class	31078	0.050066841440401


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	264488	2697	2697	0.426091729161747	0.00434488291925998	0.00434488291925998
LINE	99270	3602	3602	0.15992455594918	0.00580284326109545	0.00580284326109545
LTR	200008	3711	3706	0.322214068563348	0.00597844290447674	0.00597038787496384
Low_complexity	48548	0	0	0.0782111145584847	0	0
RC	40989	4603	4603	0.0660335209408777	0.00741546016957867	0.00741546016957867
SINE	2626	0	0	0.00423050150017675	0	0
Satellite	2977	0	0	0.00479596457198255	0	0
Simple_repeat	220686	409	409	0.35552644861691	0.00065890141415548	0.00065890141415548
Unknown	4246218	180387	180387	6.84068226164415	0.290604521748813	0.290604521748813
rRNA	8158	0	0	0.0131425861532528	0	0
tRNA	19423	0	0	0.0312905676458237	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA/Crypton-A	4878	0	0	0.00785848679278834	0	0
DNA/Crypton-C	18143	0	0	0.0292284800905205	0	0
DNA/MULE-MuDR	51680	717	717	0.0832567850453673	0.00115509123215032	0.00115509123215032
DNA/Maverick	10921	51	51	0.0175937954620831	8.21613010316125e-05	8.21613010316125e-05
DNA/PIF-Harbinger	6472	2	2	0.0104264302015019	3.22201180516127e-06	3.22201180516127e-06
DNA/TcMar-Tc1	55682	1552	1552	0.089704030667495	0.00250028116080515	0.00250028116080515
DNA/Zator	29495	85	85	0.0475166190966159	0.000136935501719354	0.000136935501719354
DNA/hAT-Ac	74700	290	290	0.120342140922774	0.000467191711748385	0.000467191711748385
DNA/hAT-Charlie	12517	0	0	0.0201649608826018	0	0
LINE/CR1	17524	5	5	0.0282312674368231	8.05502951290318e-06	8.05502951290318e-06
LINE/I-Jockey	10370	0	0	0.0167061312097612	0	0
LINE/L2	6283	0	0	0.0101219500859141	0	0
LINE/R2-NeSL	65093	3597	3597	0.104865207216681	0.00579478823158255	0.00579478823158255
LTR/Copia	13733	1038	1038	0.0221239440601399	0.0016722241268787	0.0016722241268787
LTR/DIRS	11670	6	6	0.018800438883116	9.66603541548382e-06	9.66603541548382e-06
LTR/Gypsy	142478	2558	2558	0.229532898987884	0.00412095309880127	0.00412095309880127
LTR/Pao	10639	4	4	0.0171394917975554	6.44402361032255e-06	6.44402361032255e-06
LTR/Unknown	21488	100	100	0.0346172948346527	0.000161100590258064	0.000161100590258064
Low_complexity	48548	0	0	0.0782111145584847	0	0
RC/Helitron	40989	4603	4603	0.0660335209408777	0.00741546016957867	0.00741546016957867
SINE/tRNA	2626	0	0	0.00423050150017675	0	0
Satellite	2977	0	0	0.00479596457198255	0	0
Simple_repeat	220686	409	409	0.35552644861691	0.00065890141415548	0.00065890141415548
Unknown	4246218	180387	180387	6.84068226164415	0.290604521748813	0.290604521748813
rRNA	8158	0	0	0.0131425861532528	0	0
tRNA	19423	0	0	0.0312905676458237	0	0
