Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: meloidogyne_arenaria.PRJNA438575.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-1_family-171	122088	115261	11.43
DNA	rnd-1_family-220	167211	163542	11.97
DNA	rnd-1_family-976	951	922	21.58
DNA	rnd-5_family-9070	30764	30564	6.71
DNA	rnd-6_family-13216	112764	107503	16.79
DNA/CMC-EnSpm	rnd-1_family-20	199796	174174	13.87
DNA/CMC-EnSpm	rnd-1_family-738	11966	11511	14.84
DNA/CMC-EnSpm	rnd-6_family-1153	117329	112503	9.07
DNA/CMC-Transib	rnd-1_family-573	46991	46001	16.86
DNA/MULE-MuDR	rnd-1_family-418	81466	79725	14.60
DNA/MULE-MuDR	rnd-1_family-584	58289	53789	14.77
DNA/MULE-MuDR	rnd-1_family-673	26141	25632	10.21
DNA/MULE-MuDR	rnd-1_family-807	10889	10779	11.26
DNA/MULE-MuDR	rnd-1_family-833	22978	21669	13.46
DNA/MULE-MuDR	rnd-1_family-839	91516	90467	10.10
DNA/MULE-MuDR	rnd-5_family-2298	566311	505941	13.22
DNA/MULE-MuDR	rnd-5_family-2791	46968	40350	14.10
DNA/MULE-MuDR	rnd-5_family-425	90576	84328	19.58
DNA/MULE-MuDR	rnd-6_family-11319	35473	31501	15.43
DNA/MULE-MuDR	rnd-6_family-1507	95830	93418	5.57
DNA/MULE-MuDR	rnd-6_family-16560	11279	11028	11.68
DNA/MULE-MuDR	rnd-6_family-18394	69604	66532	7.41
DNA/MULE-MuDR	rnd-6_family-3244	58995	56628	18.35
DNA/MULE-MuDR	rnd-6_family-3928	23598	23501	6.21
DNA/MULE-MuDR	rnd-6_family-4983	36421	35397	15.43
DNA/MULE-MuDR	rnd-6_family-5885	84799	82532	15.06
DNA/MULE-MuDR	rnd-6_family-6092	53681	50415	14.29
DNA/MULE-MuDR	rnd-6_family-6220	27852	27258	23.03
DNA/Maverick	ltr-1_family-357	819844	809097	11.99
DNA/Maverick	rnd-1_family-1005	20548	20405	19.25
DNA/Maverick	rnd-1_family-159	259993	239636	8.94
DNA/Maverick	rnd-1_family-394	739902	703131	19.06
DNA/Maverick	rnd-1_family-436	105523	100359	22.41
DNA/Maverick	rnd-1_family-440	339719	333960	16.16
DNA/Maverick	rnd-1_family-444	177221	176345	7.80
DNA/Maverick	rnd-1_family-447	442465	435910	10.99
DNA/Maverick	rnd-1_family-466	21899	20156	28.69
DNA/Maverick	rnd-1_family-468	186704	184534	11.24
DNA/Maverick	rnd-1_family-472	36074	35258	18.17
DNA/Maverick	rnd-1_family-474	164061	155919	21.73
DNA/Maverick	rnd-1_family-496	28468	26101	13.74
DNA/Maverick	rnd-1_family-498	49958	47724	22.84
DNA/Maverick	rnd-1_family-507	5880	5817	16.93
DNA/Maverick	rnd-1_family-510	92621	90639	30.08
DNA/Maverick	rnd-1_family-516	299955	280134	29.39
DNA/Maverick	rnd-1_family-532	197807	196194	18.69
DNA/Maverick	rnd-1_family-535	316710	311220	17.44
DNA/Maverick	rnd-1_family-549	115627	109522	18.63
DNA/Maverick	rnd-1_family-551	51249	49734	21.59
DNA/Maverick	rnd-1_family-556	24910	23618	28.77
DNA/Maverick	rnd-1_family-568	29641	29002	27.09
DNA/Maverick	rnd-1_family-569	1128	949	30.52
DNA/Maverick	rnd-1_family-577	3960	3892	20.14
DNA/Maverick	rnd-1_family-609	115205	110476	14.08
DNA/Maverick	rnd-1_family-614	4158	3873	20.76
DNA/Maverick	rnd-1_family-618	766	639	30.94
DNA/Maverick	rnd-1_family-619	31318	30558	14.95
DNA/Maverick	rnd-1_family-624	50899	49855	11.74
DNA/Maverick	rnd-1_family-625	123254	120475	15.92
DNA/Maverick	rnd-1_family-630	9872	9401	21.89
DNA/Maverick	rnd-1_family-643	463910	458901	9.97
DNA/Maverick	rnd-1_family-664	4771	4650	19.13
DNA/Maverick	rnd-1_family-686	20321	19722	14.94
DNA/Maverick	rnd-1_family-691	676	670	25.96
DNA/Maverick	rnd-1_family-696	131169	127285	24.25
DNA/Maverick	rnd-1_family-697	124067	121476	21.30
DNA/Maverick	rnd-1_family-713	168426	167216	9.28
DNA/Maverick	rnd-1_family-714	38597	37238	21.58
DNA/Maverick	rnd-1_family-741	47070	44521	13.41
DNA/Maverick	rnd-1_family-747	138867	135082	6.07
DNA/Maverick	rnd-1_family-754	297754	293151	13.52
DNA/Maverick	rnd-1_family-755	7052	6715	30.77
DNA/Maverick	rnd-1_family-759	108534	107422	6.79
DNA/Maverick	rnd-1_family-768	212025	206881	16.77
DNA/Maverick	rnd-1_family-775	41	35	34.48
DNA/Maverick	rnd-1_family-842	896	869	28.34
DNA/Maverick	rnd-1_family-846	292	292	29.24
DNA/Maverick	rnd-1_family-855	152407	151091	13.98
DNA/Maverick	rnd-1_family-885	94	94	14.69
DNA/Maverick	rnd-1_family-975	32103	32092	14.88
DNA/Maverick	rnd-5_family-3328	504040	469781	20.24
DNA/Maverick	rnd-5_family-684	439880	429923	18.95
DNA/Merlin	rnd-1_family-656	23042	22898	10.62
DNA/Merlin	rnd-1_family-749	9093	8850	14.47
DNA/Merlin	rnd-1_family-826	14863	14563	14.85
DNA/Merlin	rnd-6_family-1069	41057	40067	8.21
DNA/Merlin	rnd-6_family-1084	8147	7987	13.53
DNA/Merlin	rnd-6_family-11541	23592	23294	15.91
DNA/Merlin	rnd-6_family-3413	30739	29611	10.98
DNA/Merlin	rnd-6_family-5517	13709	13529	17.38
DNA/PIF-Harbinger	rnd-1_family-180	116839	115897	3.76
DNA/PIF-Harbinger	rnd-6_family-535	23033	22715	7.29
