Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: globodera_rostochiensis.PRJEB13504.WBPS16.genomic.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	rnd-1_family-115	19405	18261	8.22
DNA	rnd-1_family-264	29397	25208	12.90
DNA	rnd-1_family-591	6101	5230	9.71
DNA	rnd-1_family-77	32520	29210	9.22
DNA	rnd-5_family-477	54171	48550	13.00
DNA	rnd-5_family-787	8566	8532	9.27
DNA/CMC-EnSpm	rnd-1_family-134	75992	74213	10.31
DNA/CMC-EnSpm	rnd-1_family-161	519	318	12.65
DNA/CMC-EnSpm	rnd-5_family-1107	15140	14697	11.22
DNA/CMC-Transib	rnd-1_family-185	1406	1387	10.22
DNA/CMC-Transib	rnd-1_family-199	17157	16883	10.23
DNA/CMC-Transib	rnd-1_family-20	55424	53165	12.32
DNA/CMC-Transib	rnd-1_family-214	12363	11958	10.11
DNA/CMC-Transib	rnd-1_family-222	11291	10925	12.21
DNA/CMC-Transib	rnd-1_family-232	24762	24338	8.53
DNA/CMC-Transib	rnd-1_family-339	36714	35217	10.19
DNA/CMC-Transib	rnd-1_family-62	39142	37858	9.84
DNA/Ginger-1	rnd-5_family-4135	6608	6559	4.47
DNA/MULE-MuDR	rnd-1_family-123	68048	63802	7.74
DNA/MULE-MuDR	rnd-1_family-228	62520	51669	10.27
DNA/MULE-MuDR	rnd-1_family-61	32815	29929	7.72
DNA/MULE-MuDR	rnd-1_family-677	10088	9770	7.21
DNA/MULE-MuDR	rnd-1_family-718	20117	19746	10.25
DNA/MULE-MuDR	rnd-1_family-957	7854	7686	8.52
DNA/MULE-MuDR	rnd-5_family-5223	25218	23073	18.87
DNA/MULE-MuDR	rnd-5_family-5402	17883	17561	17.42
DNA/Maverick	rnd-4_family-2028	69888	68388	21.37
DNA/Maverick	rnd-4_family-2834	46549	45790	15.85
DNA/Maverick	rnd-5_family-2283	55873	53946	19.87
DNA/Maverick	rnd-5_family-2284	35628	34760	17.93
DNA/Maverick	rnd-5_family-2453	33980	33628	10.03
DNA/Maverick	rnd-5_family-2472	36695	35719	17.61
DNA/Maverick	rnd-5_family-34	39686	38368	16.22
DNA/Maverick	rnd-5_family-910	45932	45018	7.33
DNA/Maverick	rnd-5_family-9666	26974	26566	17.85
DNA/Merlin	rnd-1_family-431	15793	15447	10.30
DNA/Merlin	rnd-1_family-72	25529	24445	14.12
DNA/Merlin	rnd-5_family-2216	11016	10558	8.47
DNA/Merlin	rnd-5_family-58	4131	4043	16.27
DNA/Merlin	rnd-5_family-8625	8057	7953	15.64
DNA/PIF-Harbinger	rnd-1_family-434	25590	25360	6.85
DNA/PIF-Harbinger	rnd-5_family-751	10618	10420	15.26
DNA/PiggyBac	rnd-1_family-291	10582	10357	13.46
DNA/Sola-2	rnd-1_family-173	3670	3542	10.29
DNA/Sola-2	rnd-1_family-404	11544	10756	14.04
DNA/Sola-2	rnd-1_family-84	14291	14023	8.68
DNA/Sola-2	rnd-1_family-844	11799	11705	7.36
DNA/Sola-3	rnd-1_family-726	1560	1502	11.01
DNA/TcMar-Mariner	rnd-1_family-1117	13322	13298	6.36
DNA/TcMar-Mariner	rnd-1_family-613	20465	20281	10.25
DNA/TcMar-Pogo	rnd-1_family-253	13349	12865	12.75
DNA/TcMar-Tc1	rnd-1_family-958	13849	13804	5.00
DNA/TcMar-Tc1	rnd-4_family-834	18900	18739	9.98
DNA/TcMar-Tc1	rnd-5_family-29	12555	12401	6.88
DNA/TcMar-Tc1	rnd-5_family-8841	8865	8776	9.71
DNA/TcMar-Tc2	rnd-1_family-120	35716	33257	10.89
DNA/TcMar-Tc2	rnd-1_family-290	1660	1580	14.33
DNA/TcMar-Tc2	rnd-1_family-417	12632	12081	14.13
DNA/TcMar-Tc2	rnd-1_family-496	2855	2760	15.89
DNA/TcMar-Tc2	rnd-1_family-642	1334	1308	9.22
DNA/TcMar-Tc2	rnd-1_family-825	7447	7351	9.55
DNA/TcMar-Tc2	rnd-1_family-93	64465	61296	10.53
DNA/TcMar-Tc2	rnd-5_family-1412	24234	23010	14.28
DNA/TcMar-Tc2	rnd-5_family-2368	13092	12841	11.42
DNA/TcMar-Tc2	rnd-5_family-786	14254	13562	15.13
DNA/TcMar-Tc4	rnd-5_family-3858	8076	7922	11.42
DNA/TcMar-Tigger	rnd-4_family-1642	22046	19961	11.12
