#This file gives summary info for total, by class and by class/fam
#See file bursaphelenchus_xylophilus.PRJEB40022.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file bursaphelenchus_xylophilus.PRJEB40022.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file bursaphelenchus_xylophilus.PRJEB40022.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
24639869	2153886	22485983	31.4843215359054	2.75219155490174	28.7321299810036


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	917554	1.17243176749666
Same: class (but NOT same family)	9221	0.0117824055348096
Same: class/fam	908333	1.16064936196185
Same: name#class/fam	349822	0.446995409282959
Different: class	1236332	1.57975978740508


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA	5368259	113931	107588	6.85945174643655	0.14557870567036	0.137473749775414
LINE	8710	16	16	0.0111294601678984	2.0444473327942e-05	2.0444473327942e-05
LTR	1242889	54614	51748	1.58813818813078	0.0697846541457642	0.0661225378608965
Low_complexity	85980	101	101	0.109863488546029	0.000129055737882634	0.000129055737882634
RC	683649	44099	44099	0.87355273413589	0.0563488018305573	0.0563488018305573
SINE	212460	8538	8526	0.27147705020341	0.0109096820796231	0.0108943487246271
Satellite	2686470	33	33	3.43271651633228	4.21667262388805e-05	4.21667262388805e-05
Simple_repeat	234518	458	458	0.299662312245144	0.000585223049012341	0.000585223049012341
Unknown	14065133	695747	695747	17.9721397795286	0.889011311530981	0.889011311530981
rRNA	24097	17	17	0.0307906546114637	2.17222529109384e-05	2.17222529109384e-05
tRNA	27704	0	0	0.0353996055673316	0	0


#DETAILS BY CLASS/FAMILY
	AMOUNT			PERCENTAGE_OF_GENOME
class/family_name	masked	in_double[same_class/family]	in_double[same_repeat]	masked	in_double[same_class/family]	in_double[same_repeat]

DNA	154612	2307	2307	0.197560056886236	0.00294783749797264	0.00294783749797264
DNA/CMC-Chapaev-3	57419	1273	1273	0.073368825876069	0.00162661340915439	0.00162661340915439
DNA/Kolobok-T2	45596	13	13	0.0582616378663028	1.66111345789529e-05	1.66111345789529e-05
DNA/MULE-MuDR	198331	579	579	0.253423302475255	0.000739834378554903	0.000739834378554903
DNA/Maverick	54480	1551	1551	0.0696134316816426	0.00198183613322738	0.00198183613322738
DNA/PIF-Harbinger	9280	363	363	0.0118577945302064	0.000463833988627685	0.000463833988627685
DNA/TcMar-Mariner	262566	1882	1882	0.335501473989027	0.00240478117519918	0.00240478117519918
DNA/TcMar-Tc1	815901	2977	2977	1.04254163954633	0.00380394981858022	0.00380394981858022
DNA/TcMar-Tc4	2920216	52506	52506	3.73139238273935	0.0670910947848078	0.0670910947848078
DNA/TcMar-Tigger	281083	622	622	0.359162118527371	0.000794778900623747	0.000794778900623747
DNA/hAT-Ac	563290	43114	43114	0.71976046130603	0.0550901889413058	0.0550901889413058
DNA/hAT-Tag1	5485	401	401	0.00700862101273513	0.000512389612781547	0.000512389612781547
LINE/RTE-RTE	5891	0	0	0.00752739952343166	0	0
LINE/Tad1	2819	16	16	0.00360206064446679	2.0444473327942e-05	2.0444473327942e-05
LTR/Copia	50817	93	93	0.0649329250691269	0.000118833501218663	0.000118833501218663
LTR/ERV1	37319	21	21	0.0476854562578418	2.68333712429239e-05	2.68333712429239e-05
LTR/Gypsy	492122	37720	37720	0.628823443943343	0.0481978458706234	0.0481978458706234
LTR/Pao	301454	48	48	0.38519176641259	6.13334199838261e-05	6.13334199838261e-05
LTR/Unknown	361177	13866	13866	0.461504596447883	0.0177176916978278	0.0177176916978278
Low_complexity	85980	101	101	0.109863488546029	0.000129055737882634	0.000129055737882634
RC/Helitron	683649	44099	44099	0.87355273413589	0.0563488018305573	0.0563488018305573
SINE/5S	19310	0	0	0.02467392374766	0	0
SINE/MIR	57282	308	308	0.0731937700731985	0.000393556111562884	0.000393556111562884
SINE/tRNA	74721	8176	8176	0.0954769682210723	0.0104471258705784	0.0104471258705784
SINE/tRNA-Deu-I	61147	42	42	0.0781323881614795	5.36667424858479e-05	5.36667424858479e-05
Satellite	2686470	33	33	3.43271651633228	4.21667262388805e-05	4.21667262388805e-05
Simple_repeat	234518	458	458	0.299662312245144	0.000585223049012341	0.000585223049012341
Unknown	14065133	695747	695747	17.9721397795286	0.889011311530981	0.889011311530981
rRNA	24097	17	17	0.0307906546114637	2.17222529109384e-05	2.17222529109384e-05
tRNA	27704	0	0	0.0353996055673316	0	0
